,#bit10,#bit9,#bit8,#bit7,#bit6,#bit5,#bit4,#bit3,#bit2,#bit1,Expected Time,k-opt
Expected Time General,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.344862524561574,All
1023,1,1,1,1,1,1,1,1,1,1,0.0,0
1022,1,1,1,1,1,1,1,1,1,0,10.0,1
1021,1,1,1,1,1,1,1,1,0,1,10.0,1
1020,1,1,1,1,1,1,1,1,0,0,15.0,1
1019,1,1,1,1,1,1,1,0,1,1,10.0,1
1018,1,1,1,1,1,1,1,0,1,0,15.0,1
1017,1,1,1,1,1,1,1,0,0,1,15.0,1
1016,1,1,1,1,1,1,1,0,0,0,18.333333333333332,1
1015,1,1,1,1,1,1,0,1,1,1,10.0,1
1014,1,1,1,1,1,1,0,1,1,0,15.0,1
1013,1,1,1,1,1,1,0,1,0,1,15.0,1
1012,1,1,1,1,1,1,0,1,0,0,18.333333333333332,1
1011,1,1,1,1,1,1,0,0,1,1,15.0,1
1010,1,1,1,1,1,1,0,0,1,0,18.333333333333332,1
1009,1,1,1,1,1,1,0,0,0,1,18.333333333333332,1
1008,1,1,1,1,1,1,0,0,0,0,20.83333333333333,1
1007,1,1,1,1,1,0,1,1,1,1,10.0,1
1006,1,1,1,1,1,0,1,1,1,0,15.0,1
1005,1,1,1,1,1,0,1,1,0,1,15.0,1
1004,1,1,1,1,1,0,1,1,0,0,18.333333333333332,1
1003,1,1,1,1,1,0,1,0,1,1,15.0,1
1002,1,1,1,1,1,0,1,0,1,0,18.333333333333332,1
1001,1,1,1,1,1,0,1,0,0,1,18.333333333333332,1
1000,1,1,1,1,1,0,1,0,0,0,20.83333333333333,1
999,1,1,1,1,1,0,0,1,1,1,15.0,1
998,1,1,1,1,1,0,0,1,1,0,18.333333333333332,1
997,1,1,1,1,1,0,0,1,0,1,18.333333333333332,1
996,1,1,1,1,1,0,0,1,0,0,20.83333333333333,1
995,1,1,1,1,1,0,0,0,1,1,18.333333333333332,1
994,1,1,1,1,1,0,0,0,1,0,20.83333333333333,1
993,1,1,1,1,1,0,0,0,0,1,20.83333333333333,1
992,1,1,1,1,1,0,0,0,0,0,22.83333333333333,1
991,1,1,1,1,0,1,1,1,1,1,10.0,1
990,1,1,1,1,0,1,1,1,1,0,15.0,1
989,1,1,1,1,0,1,1,1,0,1,15.0,1
988,1,1,1,1,0,1,1,1,0,0,18.333333333333332,1
987,1,1,1,1,0,1,1,0,1,1,15.0,1
986,1,1,1,1,0,1,1,0,1,0,18.333333333333332,1
985,1,1,1,1,0,1,1,0,0,1,18.333333333333332,1
984,1,1,1,1,0,1,1,0,0,0,20.83333333333333,1
983,1,1,1,1,0,1,0,1,1,1,15.0,1
982,1,1,1,1,0,1,0,1,1,0,18.333333333333332,1
981,1,1,1,1,0,1,0,1,0,1,18.333333333333332,1
980,1,1,1,1,0,1,0,1,0,0,20.83333333333333,1
979,1,1,1,1,0,1,0,0,1,1,18.333333333333332,1
978,1,1,1,1,0,1,0,0,1,0,20.83333333333333,1
