,#bit11,#bit10,#bit9,#bit8,#bit7,#bit6,#bit5,#bit4,#bit3,#bit2,#bit1,Expected Time,k-opt
Expected Time General,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.479788694332285,All
2047,1,1,1,1,1,1,1,1,1,1,1,0.0,0
2046,1,1,1,1,1,1,1,1,1,1,0,11.000000000000009,1
2045,1,1,1,1,1,1,1,1,1,0,1,11.000000000000009,1
2044,1,1,1,1,1,1,1,1,1,0,0,16.50000000000001,1
2043,1,1,1,1,1,1,1,1,0,1,1,11.000000000000009,1
2042,1,1,1,1,1,1,1,1,0,1,0,16.50000000000001,1
2041,1,1,1,1,1,1,1,1,0,0,1,16.50000000000001,1
2040,1,1,1,1,1,1,1,1,0,0,0,20.16666666666668,1
2039,1,1,1,1,1,1,1,0,1,1,1,11.000000000000009,1
2038,1,1,1,1,1,1,1,0,1,1,0,16.50000000000001,1
2037,1,1,1,1,1,1,1,0,1,0,1,16.50000000000001,1
2036,1,1,1,1,1,1,1,0,1,0,0,20.16666666666668,1
2035,1,1,1,1,1,1,1,0,0,1,1,16.50000000000001,1
2034,1,1,1,1,1,1,1,0,0,1,0,20.16666666666668,1
2033,1,1,1,1,1,1,1,0,0,0,1,20.16666666666668,1
2032,1,1,1,1,1,1,1,0,0,0,0,22.91666666666668,1
2031,1,1,1,1,1,1,0,1,1,1,1,11.000000000000009,1
2030,1,1,1,1,1,1,0,1,1,1,0,16.50000000000001,1
2029,1,1,1,1,1,1,0,1,1,0,1,16.50000000000001,1
2028,1,1,1,1,1,1,0,1,1,0,0,20.16666666666668,1
2027,1,1,1,1,1,1,0,1,0,1,1,16.50000000000001,1
2026,1,1,1,1,1,1,0,1,0,1,0,20.16666666666668,1
2025,1,1,1,1,1,1,0,1,0,0,1,20.16666666666668,1
2024,1,1,1,1,1,1,0,1,0,0,0,22.91666666666668,1
2023,1,1,1,1,1,1,0,0,1,1,1,16.50000000000001,1
2022,1,1,1,1,1,1,0,0,1,1,0,20.16666666666668,1
2021,1,1,1,1,1,1,0,0,1,0,1,20.16666666666668,1
2020,1,1,1,1,1,1,0,0,1,0,0,22.91666666666668,1
2019,1,1,1,1,1,1,0,0,0,1,1,20.16666666666668,1
2018,1,1,1,1,1,1,0,0,0,1,0,22.91666666666668,1
2017,1,1,1,1,1,1,0,0,0,0,1,22.91666666666668,1
2016,1,1,1,1,1,1,0,0,0,0,0,25.11666666666668,1
2015,1,1,1,1,1,0,1,1,1,1,1,11.000000000000009,1
2014,1,1,1,1,1,0,1,1,1,1,0,16.50000000000001,1
2013,1,1,1,1,1,0,1,1,1,0,1,16.50000000000001,1
2012,1,1,1,1,1,0,1,1,1,0,0,20.16666666666668,1
2011,1,1,1,1,1,0,1,1,0,1,1,16.50000000000001,1
2010,1,1,1,1,1,0,1,1,0,1,0,20.16666666666668,1
2009,1,1,1,1,1,0,1,1,0,0,1,20.16666666666668,1
2008,1,1,1,1,1,0,1,1,0,0,0,22.91666666666668,1
2007,1,1,1,1,1,0,1,0,1,1,1,16.50000000000001,1
2006,1,1,1,1,1,0,1,0,1,1,0,20.16666666666668,1
2005,1,1,1,1,1,0,1,0,1,0,1,20.16666666666668,1
2004,1,1,1,1,1,0,1,0,1,0,0,22.91666666666668,1
2003,1,1,1,1,1,0,1,0,0,1,1,20.16666666666668,1
2002,1,1,1,1,1,0,1,0,0,1,0,22.91666666666668,1
2001,1,1,1,1,1,0,1,0,0,0,1,22.91666666666668,1
2000,1,1,1,1,1,0,1,0,0,0,0,25.11666666666668,1
1999,1,1,1,1,1,0,0,1,1,1,1,16.50000000000001,1
1998,1,1,1,1,1,0,0,1,1,1,0,20.16666666666668,1
1997,1,1,1,1,1,0,0,1,1,0,1,20.16666666666668,1
1996,1,1,1,1,1,0,0,1,1,0,0,22.91666666666668,1
1995,1,1,1,1,1,0,0,1,0,1,1,20.16666666666668,1
1994,1,1,1,1,1,0,0,1,0,1,0,22.91666666666668,1
1993,1,1,1,1,1,0,0,1,0,0,1,22.91666666666668,1
1992,1,1,1,1,1,0,0,1,0,0,0,25.11666666666668,1
1991,1,1,1,1,1,0,0,0,1,1,1,20.16666666666668,1
1990,1,1,1,1,1,0,0,0,1,1,0,22.91666666666668,1
1989,1,1,1,1,1,0,0,0,1,0,1,22.91666666666668,1
1988,1,1,1,1,1,0,0,0,1,0,0,25.11666666666668,1
1987,1,1,1,1,1,0,0,0,0,1,1,22.91666666666668,1
1986,1,1,1,1,1,0,0,0,0,1,0,25.11666666666668,1
1985,1,1,1,1,1,0,0,0,0,0,1,25.11666666666668,1
1984,1,1,1,1,1,0,0,0,0,0,0,26.583333333333353,2
