,#bit7,#bit6,#bit5,#bit4,#bit3,#bit2,#bit1,Expected Time,k-opt
Expected Time General,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.572207846371603,All
127,1,1,1,1,1,1,1,0.0,0
126,1,1,1,1,1,1,0,7.000000000000002,1
125,1,1,1,1,1,0,1,7.000000000000002,1
124,1,1,1,1,1,0,0,10.500000000000002,1
123,1,1,1,1,0,1,1,7.000000000000002,1
122,1,1,1,1,0,1,0,10.500000000000002,1
121,1,1,1,1,0,0,1,10.500000000000002,1
120,1,1,1,1,0,0,0,12.833333333333334,1
119,1,1,1,0,1,1,1,7.000000000000002,1
118,1,1,1,0,1,1,0,10.500000000000002,1
117,1,1,1,0,1,0,1,10.500000000000002,1
116,1,1,1,0,1,0,0,12.833333333333334,1
115,1,1,1,0,0,1,1,10.500000000000002,1
114,1,1,1,0,0,1,0,12.833333333333334,1
113,1,1,1,0,0,0,1,12.833333333333334,1
112,1,1,1,0,0,0,0,13.999999999999998,2
111,1,1,0,1,1,1,1,7.000000000000002,1
110,1,1,0,1,1,1,0,10.500000000000002,1
109,1,1,0,1,1,0,1,10.500000000000002,1
108,1,1,0,1,1,0,0,12.833333333333334,1
107,1,1,0,1,0,1,1,10.500000000000002,1
106,1,1,0,1,0,1,0,12.833333333333334,1
105,1,1,0,1,0,0,1,12.833333333333334,1
104,1,1,0,1,0,0,0,14.000000000000002,2
103,1,1,0,0,1,1,1,10.500000000000002,1
102,1,1,0,0,1,1,0,12.833333333333334,1
101,1,1,0,0,1,0,1,12.833333333333334,1
100,1,1,0,0,1,0,0,14.000000000000002,2
99,1,1,0,0,0,1,1,12.833333333333334,1
98,1,1,0,0,0,1,0,13.999999999999996,3
97,1,1,0,0,0,0,1,13.999999999999996,2
96,1,1,0,0,0,0,0,13.999999999999996,3
95,1,0,1,1,1,1,1,7.000000000000002,1
94,1,0,1,1,1,1,0,10.500000000000002,1
93,1,0,1,1,1,0,1,10.500000000000002,1
92,1,0,1,1,1,0,0,12.833333333333334,1
91,1,0,1,1,0,1,1,10.500000000000002,1
90,1,0,1,1,0,1,0,12.833333333333334,1
89,1,0,1,1,0,0,1,12.833333333333334,1
88,1,0,1,1,0,0,0,13.999999999999998,2
87,1,0,1,0,1,1,1,10.500000000000002,1
86,1,0,1,0,1,1,0,12.833333333333334,1
85,1,0,1,0,1,0,1,12.833333333333334,1
84,1,0,1,0,1,0,0,13.681818181818183,4
83,1,0,1,0,0,1,1,12.833333333333334,1
82,1,0,1,0,0,1,0,13.681818181818183,4
81,1,0,1,0,0,0,1,13.681818181818183,4
80,1,0,1,0,0,0,0,12.6,5
79,1,0,0,1,1,1,1,10.500000000000002,1
78,1,0,0,1,1,1,0,12.833333333333334,1
77,1,0,0,1,1,0,1,12.833333333333334,1
76,1,0,0,1,1,0,0,13.454545454545453,4
75,1,0,0,1,0,1,1,12.833333333333334,1
74,1,0,0,1,0,1,0,13.454545454545453,4
73,1,0,0,1,0,0,1,13.454545454545453,4
72,1,0,0,1,0,0,0,12.25,5
71,1,0,0,0,1,1,1,12.833333333333334,1
70,1,0,0,0,1,1,0,13.465789473684213,3
69,1,0,0,0,1,0,1,13.465789473684213,3
68,1,0,0,0,1,0,0,12.25,5
67,1,0,0,0,0,1,1,13.405000000000003,3
66,1,0,0,0,0,1,0,12.25,5
65,1,0,0,0,0,0,1,12.25,5
64,1,0,0,0,0,0,0,7.000000000000002,6
63,0,1,1,1,1,1,1,7.000000000000002,1
62,0,1,1,1,1,1,0,10.500000000000002,1
61,0,1,1,1,1,0,1,10.500000000000002,1
60,0,1,1,1,1,0,0,12.833333333333334,1
59,0,1,1,1,0,1,1,10.500000000000002,1
58,0,1,1,1,0,1,0,12.833333333333334,1
57,0,1,1,1,0,0,1,12.833333333333334,1
56,0,1,1,1,0,0,0,12.95,5
55,0,1,1,0,1,1,1,10.500000000000002,1
54,0,1,1,0,1,1,0,12.833333333333334,1
53,0,1,1,0,1,0,1,12.833333333333334,1
52,0,1,1,0,1,0,0,12.892845750740484,4
51,0,1,1,0,0,1,1,12.833333333333334,1
50,0,1,1,0,0,1,0,12.88995101389838,4
49,0,1,1,0,0,0,1,12.88995101389838,4
48,0,1,1,0,0,0,0,11.500000000000002,7
47,0,1,0,1,1,1,1,10.500000000000002,1
46,0,1,0,1,1,1,0,12.833333333333334,1
45,0,1,0,1,1,0,1,12.833333333333334,1
44,0,1,0,1,1,0,0,12.78343291941976,4
43,0,1,0,1,0,1,1,12.833333333333334,1
42,0,1,0,1,0,1,0,12.781020638718003,4
41,0,1,0,1,0,0,1,12.781020638718003,4
40,0,1,0,1,0,0,0,11.500000000000002,7
39,0,1,0,0,1,1,1,12.833333333333334,1
38,0,1,0,0,1,1,0,12.770579535961113,4
37,0,1,0,0,1,0,1,12.770579535961113,4
36,0,1,0,0,1,0,0,11.500000000000002,7
35,0,1,0,0,0,1,1,12.773223395610238,4
34,0,1,0,0,0,1,0,11.500000000000002,7
33,0,1,0,0,0,0,1,11.500000000000002,7
32,0,1,0,0,0,0,0,8.000000000000002,7
31,0,0,1,1,1,1,1,10.500000000000002,1
30,0,0,1,1,1,1,0,12.792253864205977,3
29,0,0,1,1,1,0,1,12.792253864205977,3
28,0,0,1,1,1,0,0,12.536246953241694,4
27,0,0,1,1,0,1,1,12.779966958723547,3
26,0,0,1,1,0,1,0,12.534485666691985,4
25,0,0,1,1,0,0,1,12.534485666691985,4
24,0,0,1,1,0,0,0,11.500000000000002,7
23,0,0,1,0,1,1,1,12.74908507233995,3
22,0,0,1,0,1,1,0,12.54659328177074,4
21,0,0,1,0,1,0,1,12.54659328177074,4
