,#bit8,#bit7,#bit6,#bit5,#bit4,#bit3,#bit2,#bit1,Expected Time,k-opt
Expected Time General,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.405840245791506,All
255,1,1,1,1,1,1,1,1,0.0,0
254,1,1,1,1,1,1,1,0,8.000000000000004,1
253,1,1,1,1,1,1,0,1,8.000000000000004,1
252,1,1,1,1,1,1,0,0,12.000000000000005,1
251,1,1,1,1,1,0,1,1,8.000000000000004,1
250,1,1,1,1,1,0,1,0,12.000000000000005,1
249,1,1,1,1,1,0,0,1,12.000000000000005,1
248,1,1,1,1,1,0,0,0,14.666666666666673,1
247,1,1,1,1,0,1,1,1,8.000000000000004,1
246,1,1,1,1,0,1,1,0,12.000000000000005,1
245,1,1,1,1,0,1,0,1,12.000000000000005,1
244,1,1,1,1,0,1,0,0,14.666666666666673,1
243,1,1,1,1,0,0,1,1,12.000000000000005,1
242,1,1,1,1,0,0,1,0,14.666666666666673,1
241,1,1,1,1,0,0,0,1,14.666666666666673,1
240,1,1,1,1,0,0,0,0,16.66666666666667,1
239,1,1,1,0,1,1,1,1,8.000000000000004,1
238,1,1,1,0,1,1,1,0,12.000000000000005,1
237,1,1,1,0,1,1,0,1,12.000000000000005,1
236,1,1,1,0,1,1,0,0,14.666666666666673,1
235,1,1,1,0,1,0,1,1,12.000000000000005,1
234,1,1,1,0,1,0,1,0,14.666666666666673,1
233,1,1,1,0,1,0,0,1,14.666666666666673,1
232,1,1,1,0,1,0,0,0,16.66666666666667,1
231,1,1,1,0,0,1,1,1,12.000000000000005,1
230,1,1,1,0,0,1,1,0,14.666666666666673,1
229,1,1,1,0,0,1,0,1,14.666666666666673,1
228,1,1,1,0,0,1,0,0,16.66666666666667,1
227,1,1,1,0,0,0,1,1,14.666666666666673,1
226,1,1,1,0,0,0,1,0,16.66666666666667,1
225,1,1,1,0,0,0,0,1,16.66666666666667,1
224,1,1,1,0,0,0,0,0,17.466666666666676,2
223,1,1,0,1,1,1,1,1,8.000000000000004,1
222,1,1,0,1,1,1,1,0,12.000000000000005,1
221,1,1,0,1,1,1,0,1,12.000000000000005,1
220,1,1,0,1,1,1,0,0,14.666666666666673,1
219,1,1,0,1,1,0,1,1,12.000000000000005,1
218,1,1,0,1,1,0,1,0,14.666666666666673,1
217,1,1,0,1,1,0,0,1,14.666666666666673,1
216,1,1,0,1,1,0,0,0,16.66666666666667,1
215,1,1,0,1,0,1,1,1,12.000000000000005,1
214,1,1,0,1,0,1,1,0,14.666666666666673,1
213,1,1,0,1,0,1,0,1,14.666666666666673,1
212,1,1,0,1,0,1,0,0,16.66666666666667,1
211,1,1,0,1,0,0,1,1,14.666666666666673,1
210,1,1,0,1,0,0,1,0,16.66666666666667,1
209,1,1,0,1,0,0,0,1,16.66666666666667,1
208,1,1,0,1,0,0,0,0,17.333333333333343,3
207,1,1,0,0,1,1,1,1,12.000000000000005,1
206,1,1,0,0,1,1,1,0,14.666666666666673,1
205,1,1,0,0,1,1,0,1,14.666666666666673,1
204,1,1,0,0,1,1,0,0,16.66666666666667,1
203,1,1,0,0,1,0,1,1,14.666666666666673,1
202,1,1,0,0,1,0,1,0,16.66666666666667,1
201,1,1,0,0,1,0,0,1,16.66666666666667,1
200,1,1,0,0,1,0,0,0,17.215686274509814,3
199,1,1,0,0,0,1,1,1,14.666666666666673,1
198,1,1,0,0,0,1,1,0,16.632404540763684,3
197,1,1,0,0,0,1,0,1,16.632404540763684,3
196,1,1,0,0,0,1,0,0,17.111111111111114,4
195,1,1,0,0,0,0,1,1,16.656339869281055,3
194,1,1,0,0,0,0,1,0,17.111111111111114,4
193,1,1,0,0,0,0,0,1,17.111111111111114,4
192,1,1,0,0,0,0,0,0,16.66666666666667,4
191,1,0,1,1,1,1,1,1,8.000000000000004,1
190,1,0,1,1,1,1,1,0,12.000000000000005,1
189,1,0,1,1,1,1,0,1,12.000000000000005,1
188,1,0,1,1,1,1,0,0,14.666666666666673,1
187,1,0,1,1,1,0,1,1,12.000000000000005,1
186,1,0,1,1,1,0,1,0,14.666666666666673,1
185,1,0,1,1,1,0,0,1,14.666666666666673,1
184,1,0,1,1,1,0,0,0,16.66666666666667,1
183,1,0,1,1,0,1,1,1,12.000000000000005,1
182,1,0,1,1,0,1,1,0,14.666666666666673,1
181,1,0,1,1,0,1,0,1,14.666666666666673,1
180,1,0,1,1,0,1,0,0,16.66666666666667,1
