,#bit9,#bit8,#bit7,#bit6,#bit5,#bit4,#bit3,#bit2,#bit1,Expected Time,k-opt
Expected Time General,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17.30529985436595,All
511,1,1,1,1,1,1,1,1,1,0.0,0
510,1,1,1,1,1,1,1,1,0,9.000000000000007,1
509,1,1,1,1,1,1,1,0,1,9.000000000000007,1
508,1,1,1,1,1,1,1,0,0,13.50000000000001,1
507,1,1,1,1,1,1,0,1,1,9.000000000000007,1
506,1,1,1,1,1,1,0,1,0,13.50000000000001,1
505,1,1,1,1,1,1,0,0,1,13.50000000000001,1
504,1,1,1,1,1,1,0,0,0,16.500000000000014,1
503,1,1,1,1,1,0,1,1,1,9.000000000000007,1
502,1,1,1,1,1,0,1,1,0,13.50000000000001,1
501,1,1,1,1,1,0,1,0,1,13.50000000000001,1
500,1,1,1,1,1,0,1,0,0,16.500000000000014,1
499,1,1,1,1,1,0,0,1,1,13.50000000000001,1
498,1,1,1,1,1,0,0,1,0,16.500000000000014,1
497,1,1,1,1,1,0,0,0,1,16.500000000000014,1
496,1,1,1,1,1,0,0,0,0,18.750000000000018,1
495,1,1,1,1,0,1,1,1,1,9.000000000000007,1
494,1,1,1,1,0,1,1,1,0,13.50000000000001,1
493,1,1,1,1,0,1,1,0,1,13.50000000000001,1
492,1,1,1,1,0,1,1,0,0,16.500000000000014,1
491,1,1,1,1,0,1,0,1,1,13.50000000000001,1
490,1,1,1,1,0,1,0,1,0,16.500000000000014,1
489,1,1,1,1,0,1,0,0,1,16.500000000000014,1
488,1,1,1,1,0,1,0,0,0,18.750000000000018,1
487,1,1,1,1,0,0,1,1,1,13.50000000000001,1
486,1,1,1,1,0,0,1,1,0,16.500000000000014,1
485,1,1,1,1,0,0,1,0,1,16.500000000000014,1
484,1,1,1,1,0,0,1,0,0,18.750000000000018,1
483,1,1,1,1,0,0,0,1,1,16.500000000000014,1
482,1,1,1,1,0,0,0,1,0,18.750000000000018,1
481,1,1,1,1,0,0,0,0,1,18.750000000000018,1
480,1,1,1,1,0,0,0,0,0,20.100000000000016,2
479,1,1,1,0,1,1,1,1,1,9.000000000000007,1
478,1,1,1,0,1,1,1,1,0,13.50000000000001,1
477,1,1,1,0,1,1,1,0,1,13.50000000000001,1
476,1,1,1,0,1,1,1,0,0,16.500000000000014,1
475,1,1,1,0,1,1,0,1,1,13.50000000000001,1
474,1,1,1,0,1,1,0,1,0,16.500000000000014,1
473,1,1,1,0,1,1,0,0,1,16.500000000000014,1
472,1,1,1,0,1,1,0,0,0,18.750000000000018,1
471,1,1,1,0,1,0,1,1,1,13.50000000000001,1
470,1,1,1,0,1,0,1,1,0,16.500000000000014,1
469,1,1,1,0,1,0,1,0,1,16.500000000000014,1
468,1,1,1,0,1,0,1,0,0,18.750000000000018,1
467,1,1,1,0,1,0,0,1,1,16.500000000000014,1
466,1,1,1,0,1,0,0,1,0,18.750000000000018,1
465,1,1,1,0,1,0,0,0,1,18.750000000000018,1
464,1,1,1,0,1,0,0,0,0,20.100000000000012,2
463,1,1,1,0,0,1,1,1,1,13.50000000000001,1
462,1,1,1,0,0,1,1,1,0,16.500000000000014,1
461,1,1,1,0,0,1,1,0,1,16.500000000000014,1
460,1,1,1,0,0,1,1,0,0,18.750000000000018,1
459,1,1,1,0,0,1,0,1,1,16.500000000000014,1
458,1,1,1,0,0,1,0,1,0,18.750000000000018,1
457,1,1,1,0,0,1,0,0,1,18.750000000000018,1
456,1,1,1,0,0,1,0,0,0,20.100000000000016,2
455,1,1,1,0,0,0,1,1,1,16.500000000000014,1
454,1,1,1,0,0,0,1,1,0,18.750000000000018,1
453,1,1,1,0,0,0,1,0,1,18.750000000000018,1
452,1,1,1,0,0,0,1,0,0,20.100000000000016,2
451,1,1,1,0,0,0,0,1,1,18.750000000000018,1
450,1,1,1,0,0,0,0,1,0,20.100000000000016,2
449,1,1,1,0,0,0,0,0,1,20.100000000000016,2
448,1,1,1,0,0,0,0,0,0,20.70000000000003,3
447,1,1,0,1,1,1,1,1,1,9.000000000000007,1
446,1,1,0,1,1,1,1,1,0,13.50000000000001,1
445,1,1,0,1,1,1,1,0,1,13.50000000000001,1
444,1,1,0,1,1,1,1,0,0,16.500000000000014,1
443,1,1,0,1,1,1,0,1,1,13.50000000000001,1
442,1,1,0,1,1,1,0,1,0,16.500000000000014,1
441,1,1,0,1,1,1,0,0,1,16.500000000000014,1
440,1,1,0,1,1,1,0,0,0,18.750000000000018,1
439,1,1,0,1,1,0,1,1,1,13.50000000000001,1
438,1,1,0,1,1,0,1,1,0,16.500000000000014,1
437,1,1,0,1,1,0,1,0,1,16.500000000000014,1
436,1,1,0,1,1,0,1,0,0,18.750000000000018,1
435,1,1,0,1,1,0,0,1,1,16.500000000000014,1
434,1,1,0,1,1,0,0,1,0,18.750000000000018,1
433,1,1,0,1,1,0,0,0,1,18.750000000000018,1
432,1,1,0,1,1,0,0,0,0,20.100000000000012,2
431,1,1,0,1,0,1,1,1,1,13.50000000000001,1
430,1,1,0,1,0,1,1,1,0,16.500000000000014,1
429,1,1,0,1,0,1,1,0,1,16.500000000000014,1
428,1,1,0,1,0,1,1,0,0,18.750000000000018,1
427,1,1,0,1,0,1,0,1,1,16.500000000000014,1
426,1,1,0,1,0,1,0,1,0,18.750000000000018,1
425,1,1,0,1,0,1,0,0,1,18.750000000000018,1
424,1,1,0,1,0,1,0,0,0,20.100000000000016,2
423,1,1,0,1,0,0,1,1,1,16.500000000000014,1
422,1,1,0,1,0,0,1,1,0,18.750000000000018,1
421,1,1,0,1,0,0,1,0,1,18.750000000000018,1
420,1,1,0,1,0,0,1,0,0,20.100000000000016,2
419,1,1,0,1,0,0,0,1,1,18.750000000000018,1
418,1,1,0,1,0,0,0,1,0,20.08800000000001,3
417,1,1,0,1,0,0,0,0,1,20.08800000000001,3
416,1,1,0,1,0,0,0,0,0,20.580000000000013,3
415,1,1,0,0,1,1,1,1,1,13.50000000000001,1
414,1,1,0,0,1,1,1,1,0,16.500000000000014,1
413,1,1,0,0,1,1,1,0,1,16.500000000000014,1
412,1,1,0,0,1,1,1,0,0,18.750000000000018,1
411,1,1,0,0,1,1,0,1,1,16.500000000000014,1
410,1,1,0,0,1,1,0,1,0,18.750000000000018,1
409,1,1,0,0,1,1,0,0,1,18.750000000000018,1
408,1,1,0,0,1,1,0,0,0,20.100000000000016,2
407,1,1,0,0,1,0,1,1,1,16.500000000000014,1
406,1,1,0,0,1,0,1,1,0,18.750000000000018,1
405,1,1,0,0,1,0,1,0,1,18.750000000000018,1
404,1,1,0,0,1,0,1,0,0,20.010000000000005,3
403,1,1,0,0,1,0,0,1,1,18.750000000000018,1
402,1,1,0,0,1,0,0,1,0,19.966551724137936,3
401,1,1,0,0,1,0,0,0,1,19.966551724137936,3
400,1,1,0,0,1,0,0,0,0,20.274193548387128,4
399,1,1,0,0,0,1,1,1,1,16.500000000000014,1
398,1,1,0,0,0,1,1,1,0,18.750000000000018,1
397,1,1,0,0,0,1,1,0,1,18.750000000000018,1
396,1,1,0,0,0,1,1,0,0,19.937232049947973,3
395,1,1,0,0,0,1,0,1,1,18.750000000000018,1
394,1,1,0,0,0,1,0,1,0,19.9001310483871,3
393,1,1,0,0,0,1,0,0,1,19.9001310483871,3
392,1,1,0,0,0,1,0,0,0,20.13970588235297,4
391,1,1,0,0,0,0,1,1,1,18.750000000000018,1
390,1,1,0,0,0,0,1,1,0,19.873349983257064,3
389,1,1,0,0,0,0,1,0,1,19.873349983257064,3
388,1,1,0,0,0,0,1,0,0,20.10000000000003,4
387,1,1,0,0,0,0,0,1,1,19.879825698021147,3
386,1,1,0,0,0,0,0,1,0,20.10000000000003,4
385,1,1,0,0,0,0,0,0,1,20.10000000000003,4
384,1,1,0,0,0,0,0,0,0,19.500000000000025,5
383,1,0,1,1,1,1,1,1,1,9.000000000000007,1
382,1,0,1,1,1,1,1,1,0,13.50000000000001,1
381,1,0,1,1,1,1,1,0,1,13.50000000000001,1
380,1,0,1,1,1,1,1,0,0,16.500000000000014,1
