,Binary Representation,Expected Time,k-opt
Expected Time General,NaN,18.216064453124993,All
4095,#111111111111,0.0,0
4094,#111111111110,11.999999999999984,1
4093,#111111111101,11.999999999999984,1
4092,#111111111100,17.99999999999998,1
4091,#111111111011,11.999999999999984,1
4090,#111111111010,17.99999999999998,1
4089,#111111111001,17.99999999999998,1
4088,#111111111000,21.999999999999975,1
4087,#111111110111,11.999999999999984,1
4086,#111111110110,17.99999999999998,1
4085,#111111110101,17.99999999999998,1
4084,#111111110100,21.999999999999975,1
4083,#111111110011,17.99999999999998,1
4082,#111111110010,21.999999999999975,1
4081,#111111110001,21.999999999999975,1
4080,#111111110000,24.999999999999975,1
4079,#111111101111,11.999999999999984,1
4078,#111111101110,17.99999999999998,1
4077,#111111101101,17.99999999999998,1
4076,#111111101100,21.999999999999975,1
4075,#111111101011,17.99999999999998,1
4074,#111111101010,21.999999999999975,1
4073,#111111101001,21.999999999999975,1
4072,#111111101000,24.999999999999975,1
4071,#111111100111,17.99999999999998,1
4070,#111111100110,21.999999999999975,1
4069,#111111100101,21.999999999999975,1
4068,#111111100100,24.999999999999975,1
4067,#111111100011,21.999999999999975,1
4066,#111111100010,24.999999999999975,1
4065,#111111100001,24.999999999999975,1
4064,#111111100000,27.399999999999974,1
4063,#111111011111,11.999999999999984,1
4062,#111111011110,17.99999999999998,1
4061,#111111011101,17.99999999999998,1
4060,#111111011100,21.999999999999975,1
4059,#111111011011,17.99999999999998,1
4058,#111111011010,21.999999999999975,1
4057,#111111011001,21.999999999999975,1
4056,#111111011000,24.999999999999975,1
4055,#111111010111,17.99999999999998,1
4054,#111111010110,21.999999999999975,1
4053,#111111010101,21.999999999999975,1
4052,#111111010100,24.999999999999975,1
4051,#111111010011,21.999999999999975,1
4050,#111111010010,24.999999999999975,1
4049,#111111010001,24.999999999999975,1
4048,#111111010000,27.399999999999974,1
4047,#111111001111,17.99999999999998,1
4046,#111111001110,21.999999999999975,1
4045,#111111001101,21.999999999999975,1
4044,#111111001100,24.999999999999975,1
4043,#111111001011,21.999999999999975,1
4042,#111111001010,24.999999999999975,1
4041,#111111001001,24.999999999999975,1
4040,#111111001000,27.399999999999974,1
4039,#111111000111,21.999999999999975,1
4038,#111111000110,24.999999999999975,1
4037,#111111000101,24.999999999999975,1
4036,#111111000100,27.399999999999974,1
4035,#111111000011,24.999999999999975,1
4034,#111111000010,27.399999999999974,1
4033,#111111000001,27.399999999999974,1
4032,#111111000000,29.399999999999974,1
4031,#111110111111,11.999999999999984,1
4030,#111110111110,17.99999999999998,1
4029,#111110111101,17.99999999999998,1
4028,#111110111100,21.999999999999975,1
4027,#111110111011,17.99999999999998,1
