,Expected time,k^*
Expected Time General,6.229166666666661,All
31,0.0,0
30,4.999999999999999,1
29,4.999999999999999,1
28,7.499999999999998,1
27,4.999999999999999,1
26,7.499999999999998,1
25,7.499999999999998,1
24,8.33333333333333,2
23,4.999999999999999,1
22,7.499999999999998,1
21,7.499999999999998,1
20,8.33333333333333,2
19,7.499999999999998,1
18,8.124999999999998,3
17,8.124999999999998,3
16,4.999999999999999,4
15,4.999999999999999,1
14,7.499999999999998,1
13,7.499999999999998,1
12,7.499999999999997,3
11,7.499999999999998,1
10,7.499999999999997,3
9,7.499999999999997,3
8,5.999999999999999,5
7,7.499999999999998,1
6,7.3333333333333295,3
5,7.3333333333333295,3
4,5.999999999999999,5
3,7.199999999999997,3
2,5.999999999999999,5
1,5.999999999999999,5
