,#bit12,#bit11,#bit10,#bit9,#bit8,#bit7,#bit6,#bit5,#bit4,#bit3,#bit2,#bit1,Expected Time,k-opt
Expected Time General,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.718722030152165,All
4095,1,1,1,1,1,1,1,1,1,1,1,1,0.0,0
4094,1,1,1,1,1,1,1,1,1,1,1,0,11.999999999999984,1
4093,1,1,1,1,1,1,1,1,1,1,0,1,11.999999999999984,1
4092,1,1,1,1,1,1,1,1,1,1,0,0,17.99999999999998,1
4091,1,1,1,1,1,1,1,1,1,0,1,1,11.999999999999984,1
4090,1,1,1,1,1,1,1,1,1,0,1,0,17.99999999999998,1
4089,1,1,1,1,1,1,1,1,1,0,0,1,17.99999999999998,1
4088,1,1,1,1,1,1,1,1,1,0,0,0,21.999999999999975,1
4087,1,1,1,1,1,1,1,1,0,1,1,1,11.999999999999984,1
4086,1,1,1,1,1,1,1,1,0,1,1,0,17.99999999999998,1
4085,1,1,1,1,1,1,1,1,0,1,0,1,17.99999999999998,1
4084,1,1,1,1,1,1,1,1,0,1,0,0,21.999999999999975,1
4083,1,1,1,1,1,1,1,1,0,0,1,1,17.99999999999998,1
4082,1,1,1,1,1,1,1,1,0,0,1,0,21.999999999999975,1
4081,1,1,1,1,1,1,1,1,0,0,0,1,21.999999999999975,1
4080,1,1,1,1,1,1,1,1,0,0,0,0,24.999999999999975,1
4079,1,1,1,1,1,1,1,0,1,1,1,1,11.999999999999984,1
4078,1,1,1,1,1,1,1,0,1,1,1,0,17.99999999999998,1
4077,1,1,1,1,1,1,1,0,1,1,0,1,17.99999999999998,1
4076,1,1,1,1,1,1,1,0,1,1,0,0,21.999999999999975,1
4075,1,1,1,1,1,1,1,0,1,0,1,1,17.99999999999998,1
4074,1,1,1,1,1,1,1,0,1,0,1,0,21.999999999999975,1
4073,1,1,1,1,1,1,1,0,1,0,0,1,21.999999999999975,1
4072,1,1,1,1,1,1,1,0,1,0,0,0,24.999999999999975,1
4071,1,1,1,1,1,1,1,0,0,1,1,1,17.99999999999998,1
4070,1,1,1,1,1,1,1,0,0,1,1,0,21.999999999999975,1
4069,1,1,1,1,1,1,1,0,0,1,0,1,21.999999999999975,1
4068,1,1,1,1,1,1,1,0,0,1,0,0,24.999999999999975,1
4067,1,1,1,1,1,1,1,0,0,0,1,1,21.999999999999975,1
4066,1,1,1,1,1,1,1,0,0,0,1,0,24.999999999999975,1
4065,1,1,1,1,1,1,1,0,0,0,0,1,24.999999999999975,1
4064,1,1,1,1,1,1,1,0,0,0,0,0,27.399999999999974,1
4063,1,1,1,1,1,1,0,1,1,1,1,1,11.999999999999984,1
4062,1,1,1,1,1,1,0,1,1,1,1,0,17.99999999999998,1
4061,1,1,1,1,1,1,0,1,1,1,0,1,17.99999999999998,1
4060,1,1,1,1,1,1,0,1,1,1,0,0,21.999999999999975,1
4059,1,1,1,1,1,1,0,1,1,0,1,1,17.99999999999998,1
4058,1,1,1,1,1,1,0,1,1,0,1,0,21.999999999999975,1
4057,1,1,1,1,1,1,0,1,1,0,0,1,21.999999999999975,1
4056,1,1,1,1,1,1,0,1,1,0,0,0,24.999999999999975,1
4055,1,1,1,1,1,1,0,1,0,1,1,1,17.99999999999998,1
4054,1,1,1,1,1,1,0,1,0,1,1,0,21.999999999999975,1
4053,1,1,1,1,1,1,0,1,0,1,0,1,21.999999999999975,1
4052,1,1,1,1,1,1,0,1,0,1,0,0,24.999999999999975,1
4051,1,1,1,1,1,1,0,1,0,0,1,1,21.999999999999975,1
4050,1,1,1,1,1,1,0,1,0,0,1,0,24.999999999999975,1
4049,1,1,1,1,1,1,0,1,0,0,0,1,24.999999999999975,1
4048,1,1,1,1,1,1,0,1,0,0,0,0,27.399999999999974,1
4047,1,1,1,1,1,1,0,0,1,1,1,1,17.99999999999998,1
4046,1,1,1,1,1,1,0,0,1,1,1,0,21.999999999999975,1
4045,1,1,1,1,1,1,0,0,1,1,0,1,21.999999999999975,1
4044,1,1,1,1,1,1,0,0,1,1,0,0,24.999999999999975,1
4043,1,1,1,1,1,1,0,0,1,0,1,1,21.999999999999975,1
4042,1,1,1,1,1,1,0,0,1,0,1,0,24.999999999999975,1
4041,1,1,1,1,1,1,0,0,1,0,0,1,24.999999999999975,1
4040,1,1,1,1,1,1,0,0,1,0,0,0,27.399999999999974,1
4039,1,1,1,1,1,1,0,0,0,1,1,1,21.999999999999975,1
4038,1,1,1,1,1,1,0,0,0,1,1,0,24.999999999999975,1
4037,1,1,1,1,1,1,0,0,0,1,0,1,24.999999999999975,1
4036,1,1,1,1,1,1,0,0,0,1,0,0,27.399999999999974,1
4035,1,1,1,1,1,1,0,0,0,0,1,1,24.999999999999975,1
4034,1,1,1,1,1,1,0,0,0,0,1,0,27.399999999999974,1
4033,1,1,1,1,1,1,0,0,0,0,0,1,27.399999999999974,1
4032,1,1,1,1,1,1,0,0,0,0,0,0,29.399999999999974,1
4031,1,1,1,1,1,0,1,1,1,1,1,1,11.999999999999984,1
4030,1,1,1,1,1,0,1,1,1,1,1,0,17.99999999999998,1
4029,1,1,1,1,1,0,1,1,1,1,0,1,17.99999999999998,1
4028,1,1,1,1,1,0,1,1,1,1,0,0,21.999999999999975,1
4027,1,1,1,1,1,0,1,1,1,0,1,1,17.99999999999998,1
4026,1,1,1,1,1,0,1,1,1,0,1,0,21.999999999999975,1
4025,1,1,1,1,1,0,1,1,1,0,0,1,21.999999999999975,1
4024,1,1,1,1,1,0,1,1,1,0,0,0,24.999999999999975,1
4023,1,1,1,1,1,0,1,1,0,1,1,1,17.99999999999998,1
4022,1,1,1,1,1,0,1,1,0,1,1,0,21.999999999999975,1
4021,1,1,1,1,1,0,1,1,0,1,0,1,21.999999999999975,1
4020,1,1,1,1,1,0,1,1,0,1,0,0,24.999999999999975,1
4019,1,1,1,1,1,0,1,1,0,0,1,1,21.999999999999975,1
4018,1,1,1,1,1,0,1,1,0,0,1,0,24.999999999999975,1
4017,1,1,1,1,1,0,1,1,0,0,0,1,24.999999999999975,1
4016,1,1,1,1,1,0,1,1,0,0,0,0,27.399999999999974,1
4015,1,1,1,1,1,0,1,0,1,1,1,1,17.99999999999998,1
4014,1,1,1,1,1,0,1,0,1,1,1,0,21.999999999999975,1
4013,1,1,1,1,1,0,1,0,1,1,0,1,21.999999999999975,1
4012,1,1,1,1,1,0,1,0,1,1,0,0,24.999999999999975,1
4011,1,1,1,1,1,0,1,0,1,0,1,1,21.999999999999975,1
4010,1,1,1,1,1,0,1,0,1,0,1,0,24.999999999999975,1
4009,1,1,1,1,1,0,1,0,1,0,0,1,24.999999999999975,1
4008,1,1,1,1,1,0,1,0,1,0,0,0,27.399999999999974,1
4007,1,1,1,1,1,0,1,0,0,1,1,1,21.999999999999975,1
4006,1,1,1,1,1,0,1,0,0,1,1,0,24.999999999999975,1
4005,1,1,1,1,1,0,1,0,0,1,0,1,24.999999999999975,1
4004,1,1,1,1,1,0,1,0,0,1,0,0,27.399999999999974,1
4003,1,1,1,1,1,0,1,0,0,0,1,1,24.999999999999975,1
4002,1,1,1,1,1,0,1,0,0,0,1,0,27.399999999999974,1
4001,1,1,1,1,1,0,1,0,0,0,0,1,27.399999999999974,1
4000,1,1,1,1,1,0,1,0,0,0,0,0,29.399999999999974,1
3999,1,1,1,1,1,0,0,1,1,1,1,1,17.99999999999998,1
3998,1,1,1,1,1,0,0,1,1,1,1,0,21.999999999999975,1
3997,1,1,1,1,1,0,0,1,1,1,0,1,21.999999999999975,1
3996,1,1,1,1,1,0,0,1,1,1,0,0,24.999999999999975,1
3995,1,1,1,1,1,0,0,1,1,0,1,1,21.999999999999975,1
3994,1,1,1,1,1,0,0,1,1,0,1,0,24.999999999999975,1
3993,1,1,1,1,1,0,0,1,1,0,0,1,24.999999999999975,1
3992,1,1,1,1,1,0,0,1,1,0,0,0,27.399999999999974,1
3991,1,1,1,1,1,0,0,1,0,1,1,1,21.999999999999975,1
3990,1,1,1,1,1,0,0,1,0,1,1,0,24.999999999999975,1
3989,1,1,1,1,1,0,0,1,0,1,0,1,24.999999999999975,1
3988,1,1,1,1,1,0,0,1,0,1,0,0,27.399999999999974,1
3987,1,1,1,1,1,0,0,1,0,0,1,1,24.999999999999975,1
3986,1,1,1,1,1,0,0,1,0,0,1,0,27.399999999999974,1
3985,1,1,1,1,1,0,0,1,0,0,0,1,27.399999999999974,1
3984,1,1,1,1,1,0,0,1,0,0,0,0,29.399999999999974,1
3983,1,1,1,1,1,0,0,0,1,1,1,1,21.999999999999975,1
3982,1,1,1,1,1,0,0,0,1,1,1,0,24.999999999999975,1
3981,1,1,1,1,1,0,0,0,1,1,0,1,24.999999999999975,1
3980,1,1,1,1,1,0,0,0,1,1,0,0,27.399999999999974,1
3979,1,1,1,1,1,0,0,0,1,0,1,1,24.999999999999975,1
3978,1,1,1,1,1,0,0,0,1,0,1,0,27.399999999999974,1
3977,1,1,1,1,1,0,0,0,1,0,0,1,27.399999999999974,1
3976,1,1,1,1,1,0,0,0,1,0,0,0,29.399999999999974,1
3975,1,1,1,1,1,0,0,0,0,1,1,1,24.999999999999975,1
3974,1,1,1,1,1,0,0,0,0,1,1,0,27.399999999999974,1
3973,1,1,1,1,1,0,0,0,0,1,0,1,27.399999999999974,1
3972,1,1,1,1,1,0,0,0,0,1,0,0,29.399999999999974,1
3971,1,1,1,1,1,0,0,0,0,0,1,1,27.399999999999974,1
3970,1,1,1,1,1,0,0,0,0,0,1,0,29.399999999999974,1
3969,1,1,1,1,1,0,0,0,0,0,0,1,29.399999999999974,1
3968,1,1,1,1,1,0,0,0,0,0,0,0,30.54285714285713,2
3967,1,1,1,1,0,1,1,1,1,1,1,1,11.999999999999984,1
3966,1,1,1,1,0,1,1,1,1,1,1,0,17.99999999999998,1
3965,1,1,1,1,0,1,1,1,1,1,0,1,17.99999999999998,1
3964,1,1,1,1,0,1,1,1,1,1,0,0,21.999999999999975,1
3963,1,1,1,1,0,1,1,1,1,0,1,1,17.99999999999998,1
3962,1,1,1,1,0,1,1,1,1,0,1,0,21.999999999999975,1
3961,1,1,1,1,0,1,1,1,1,0,0,1,21.999999999999975,1
3960,1,1,1,1,0,1,1,1,1,0,0,0,24.999999999999975,1
3959,1,1,1,1,0,1,1,1,0,1,1,1,17.99999999999998,1
3958,1,1,1,1,0,1,1,1,0,1,1,0,21.999999999999975,1
3957,1,1,1,1,0,1,1,1,0,1,0,1,21.999999999999975,1
3956,1,1,1,1,0,1,1,1,0,1,0,0,24.999999999999975,1
3955,1,1,1,1,0,1,1,1,0,0,1,1,21.999999999999975,1
3954,1,1,1,1,0,1,1,1,0,0,1,0,24.999999999999975,1
3953,1,1,1,1,0,1,1,1,0,0,0,1,24.999999999999975,1
3952,1,1,1,1,0,1,1,1,0,0,0,0,27.399999999999974,1
3951,1,1,1,1,0,1,1,0,1,1,1,1,17.99999999999998,1
3950,1,1,1,1,0,1,1,0,1,1,1,0,21.999999999999975,1
3949,1,1,1,1,0,1,1,0,1,1,0,1,21.999999999999975,1
3948,1,1,1,1,0,1,1,0,1,1,0,0,24.999999999999975,1
3947,1,1,1,1,0,1,1,0,1,0,1,1,21.999999999999975,1
3946,1,1,1,1,0,1,1,0,1,0,1,0,24.999999999999975,1
3945,1,1,1,1,0,1,1,0,1,0,0,1,24.999999999999975,1
3944,1,1,1,1,0,1,1,0,1,0,0,0,27.399999999999974,1
3943,1,1,1,1,0,1,1,0,0,1,1,1,21.999999999999975,1
3942,1,1,1,1,0,1,1,0,0,1,1,0,24.999999999999975,1
3941,1,1,1,1,0,1,1,0,0,1,0,1,24.999999999999975,1
3940,1,1,1,1,0,1,1,0,0,1,0,0,27.399999999999974,1
3939,1,1,1,1,0,1,1,0,0,0,1,1,24.999999999999975,1
3938,1,1,1,1,0,1,1,0,0,0,1,0,27.399999999999974,1
3937,1,1,1,1,0,1,1,0,0,0,0,1,27.399999999999974,1
3936,1,1,1,1,0,1,1,0,0,0,0,0,29.399999999999974,1
3935,1,1,1,1,0,1,0,1,1,1,1,1,17.99999999999998,1
3934,1,1,1,1,0,1,0,1,1,1,1,0,21.999999999999975,1
3933,1,1,1,1,0,1,0,1,1,1,0,1,21.999999999999975,1
3932,1,1,1,1,0,1,0,1,1,1,0,0,24.999999999999975,1
3931,1,1,1,1,0,1,0,1,1,0,1,1,21.999999999999975,1
3930,1,1,1,1,0,1,0,1,1,0,1,0,24.999999999999975,1
3929,1,1,1,1,0,1,0,1,1,0,0,1,24.999999999999975,1
3928,1,1,1,1,0,1,0,1,1,0,0,0,27.399999999999974,1
3927,1,1,1,1,0,1,0,1,0,1,1,1,21.999999999999975,1
3926,1,1,1,1,0,1,0,1,0,1,1,0,24.999999999999975,1
3925,1,1,1,1,0,1,0,1,0,1,0,1,24.999999999999975,1
3924,1,1,1,1,0,1,0,1,0,1,0,0,27.399999999999974,1
3923,1,1,1,1,0,1,0,1,0,0,1,1,24.999999999999975,1
3922,1,1,1,1,0,1,0,1,0,0,1,0,27.399999999999974,1
3921,1,1,1,1,0,1,0,1,0,0,0,1,27.399999999999974,1
3920,1,1,1,1,0,1,0,1,0,0,0,0,29.399999999999974,1
3919,1,1,1,1,0,1,0,0,1,1,1,1,21.999999999999975,1
3918,1,1,1,1,0,1,0,0,1,1,1,0,24.999999999999975,1
3917,1,1,1,1,0,1,0,0,1,1,0,1,24.999999999999975,1
3916,1,1,1,1,0,1,0,0,1,1,0,0,27.399999999999974,1
3915,1,1,1,1,0,1,0,0,1,0,1,1,24.999999999999975,1
3914,1,1,1,1,0,1,0,0,1,0,1,0,27.399999999999974,1
3913,1,1,1,1,0,1,0,0,1,0,0,1,27.399999999999974,1
3912,1,1,1,1,0,1,0,0,1,0,0,0,29.399999999999974,1
3911,1,1,1,1,0,1,0,0,0,1,1,1,24.999999999999975,1
3910,1,1,1,1,0,1,0,0,0,1,1,0,27.399999999999974,1
3909,1,1,1,1,0,1,0,0,0,1,0,1,27.399999999999974,1
3908,1,1,1,1,0,1,0,0,0,1,0,0,29.399999999999974,1
3907,1,1,1,1,0,1,0,0,0,0,1,1,27.399999999999974,1
3906,1,1,1,1,0,1,0,0,0,0,1,0,29.399999999999974,1
3905,1,1,1,1,0,1,0,0,0,0,0,1,29.399999999999974,1
3904,1,1,1,1,0,1,0,0,0,0,0,0,30.542857142857134,2
3903,1,1,1,1,0,0,1,1,1,1,1,1,17.99999999999998,1
3902,1,1,1,1,0,0,1,1,1,1,1,0,21.999999999999975,1
3901,1,1,1,1,0,0,1,1,1,1,0,1,21.999999999999975,1
3900,1,1,1,1,0,0,1,1,1,1,0,0,24.999999999999975,1
3899,1,1,1,1,0,0,1,1,1,0,1,1,21.999999999999975,1
3898,1,1,1,1,0,0,1,1,1,0,1,0,24.999999999999975,1
3897,1,1,1,1,0,0,1,1,1,0,0,1,24.999999999999975,1
3896,1,1,1,1,0,0,1,1,1,0,0,0,27.399999999999974,1
3895,1,1,1,1,0,0,1,1,0,1,1,1,21.999999999999975,1
3894,1,1,1,1,0,0,1,1,0,1,1,0,24.999999999999975,1
3893,1,1,1,1,0,0,1,1,0,1,0,1,24.999999999999975,1
3892,1,1,1,1,0,0,1,1,0,1,0,0,27.399999999999974,1
3891,1,1,1,1,0,0,1,1,0,0,1,1,24.999999999999975,1
