,#bit4,#bit3,#bit2,#bit1,Expected Time,k-opt
Expected Time General,NaN,NaN,NaN,NaN,4.369791666666666,All
15,1,1,1,1,0.0,0
14,1,1,1,0,3.999999999999999,1
13,1,1,0,1,3.999999999999999,1
12,1,1,0,0,5.999999999999997,2
11,1,0,1,1,3.999999999999999,1
10,1,0,1,0,5.999999999999997,2
9,1,0,0,1,5.999999999999997,2
8,1,0,0,0,3.999999999999999,3
7,0,1,1,1,3.999999999999999,1
6,0,1,1,0,5.333333333333332,3
5,0,1,0,1,5.333333333333332,3
4,0,1,0,0,4.999999999999999,4
3,0,0,1,1,5.249999999999999,3
2,0,0,1,0,4.999999999999999,4
1,0,0,0,1,4.999999999999999,4
0,0,0,0,0,1.0,4
