,#bit5,#bit4,#bit3,#bit2,#bit1,Expected Time,k-opt
Expected Time General,NaN,NaN,NaN,NaN,NaN,6.477604166666667,All
31,1,1,1,1,1,0.0,0
30,1,1,1,1,0,4.999999999999999,1
29,1,1,1,0,1,4.999999999999999,1
28,1,1,1,0,0,7.499999999999998,1
27,1,1,0,1,1,4.999999999999999,1
26,1,1,0,1,0,7.499999999999998,1
25,1,1,0,0,1,7.499999999999998,1
24,1,1,0,0,0,8.33333333333333,2
23,1,0,1,1,1,4.999999999999999,1
22,1,0,1,1,0,7.499999999999998,1
21,1,0,1,0,1,7.499999999999998,1
20,1,0,1,0,0,8.33333333333333,2
19,1,0,0,1,1,7.499999999999998,1
18,1,0,0,1,0,8.124999999999998,3
17,1,0,0,0,1,8.124999999999998,3
16,1,0,0,0,0,4.999999999999999,4
15,0,1,1,1,1,4.999999999999999,1
14,0,1,1,1,0,7.499999999999998,1
13,0,1,1,0,1,7.499999999999998,1
12,0,1,1,0,0,7.499999999999997,3
11,0,1,0,1,1,7.499999999999998,1
10,0,1,0,1,0,7.499999999999997,3
9,0,1,0,0,1,7.499999999999997,3
8,0,1,0,0,0,5.999999999999999,5
7,0,0,1,1,1,7.499999999999998,1
6,0,0,1,1,0,7.3333333333333295,3
5,0,0,1,0,1,7.3333333333333295,3
4,0,0,1,0,0,5.999999999999999,5
3,0,0,0,1,1,7.199999999999997,3
2,0,0,0,1,0,5.999999999999999,5
1,0,0,0,0,1,5.999999999999999,5
0,0,0,0,0,0,1.0,5
