,#bit6,#bit5,#bit4,#bit3,#bit2,#bit1,Expected Time,k-opt
Expected Time General,NaN,NaN,NaN,NaN,NaN,NaN,8.981026518522068,All
63,1,1,1,1,1,1,0.0,0
62,1,1,1,1,1,0,5.999999999999997,1
61,1,1,1,1,0,1,5.999999999999997,1
60,1,1,1,1,0,0,8.999999999999996,1
59,1,1,1,0,1,1,5.999999999999997,1
58,1,1,1,0,1,0,8.999999999999996,1
57,1,1,1,0,0,1,8.999999999999996,1
56,1,1,1,0,0,0,10.999999999999991,2
55,1,1,0,1,1,1,5.999999999999997,1
54,1,1,0,1,1,0,8.999999999999996,1
53,1,1,0,1,0,1,8.999999999999996,1
52,1,1,0,1,0,0,10.999999999999991,2
51,1,1,0,0,1,1,8.999999999999996,1
50,1,1,0,0,1,0,10.999999999999993,2
49,1,1,0,0,0,1,10.999999999999995,1
48,1,1,0,0,0,0,10.99999999999999,3
47,1,0,1,1,1,1,5.999999999999997,1
46,1,0,1,1,1,0,8.999999999999996,1
45,1,0,1,1,0,1,8.999999999999996,1
44,1,0,1,1,0,0,10.999999999999993,2
43,1,0,1,0,1,1,8.999999999999996,1
42,1,0,1,0,1,0,10.85714285714285,3
41,1,0,1,0,0,1,10.85714285714285,3
40,1,0,1,0,0,0,10.499999999999995,4
39,1,0,0,1,1,1,8.999999999999996,1
38,1,0,0,1,1,0,10.611111111111107,3
37,1,0,0,1,0,1,10.611111111111107,3
36,1,0,0,1,0,0,10.199999999999994,4
35,1,0,0,0,1,1,10.569999999999997,3
34,1,0,0,0,1,0,10.199999999999994,4
33,1,0,0,0,0,1,10.199999999999994,4
32,1,0,0,0,0,0,5.999999999999997,5
31,0,1,1,1,1,1,5.999999999999997,1
30,0,1,1,1,1,0,8.999999999999996,1
29,0,1,1,1,0,1,8.999999999999996,1
28,0,1,1,1,0,0,10.393650793650787,4
27,0,1,1,0,1,1,8.999999999999996,1
26,0,1,1,0,1,0,10.40382539682539,4
25,0,1,1,0,0,1,10.40382539682539,4
24,0,1,1,0,0,0,9.958444444444442,5
23,0,1,0,1,1,1,8.999999999999996,1
22,0,1,0,1,1,0,10.258341880341877,3
21,0,1,0,1,0,1,10.258341880341877,3
20,0,1,0,1,0,0,9.899999999999993,4
19,0,1,0,0,1,1,10.232746031746027,3
18,0,1,0,0,1,0,9.899999999999993,4
17,0,1,0,0,0,1,9.899999999999993,4
16,0,1,0,0,0,0,6.999999999999997,6
15,0,0,1,1,1,1,8.999999999999996,1
14,0,0,1,1,1,0,10.103652777777775,3
13,0,0,1,1,0,1,10.103652777777775,3
12,0,0,1,1,0,0,9.871428571428565,4
11,0,0,1,0,1,1,10.089992530345468,3
10,0,0,1,0,1,0,9.871428571428565,4
9,0,0,1,0,0,1,9.871428571428565,4
8,0,0,1,0,0,0,6.999999999999997,6
7,0,0,0,1,1,1,9.994372486772479,4
6,0,0,0,1,1,0,9.89532486772486,4
5,0,0,0,1,0,1,9.89532486772486,4
4,0,0,0,1,0,0,6.999999999999997,6
3,0,0,0,0,1,1,9.873407402319902,3
2,0,0,0,0,1,0,6.999999999999997,6
1,0,0,0,0,0,1,6.999999999999997,6
0,0,0,0,0,0,0,1.0,6
