,RLS-opt,T[RLS-opt],p-opt,T[p-opt],RLS-drift,t[RLS-drift],p-drift,T[p-drift],p-opt{>0},T[p-opt{>0}],p-drift{>0},T[p-drift{>0}]
500,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
499,1,500.0,0.002,1357.781546565009,1,500.0,0.001999491716240343,1357.7815905085881,6.1860905984752125e-06,500.77251265928095,5.9608609865491405e-06,500.74435820955506
498,1,749.9999999999509,0.0020100583111037082,2033.9496006880895,1,749.9999999999509,0.0020075426576684555,2033.950175655581,4e-06,751.0206763648691,5.9608609865491405e-06,751.1142964418772
497,1,916.6666666665848,0.0020181867021911576,2483.3671668974844,1,916.6666666665848,0.0020156726519974504,2483.368090136091,6.278866256941272e-06,917.9460905369403,5.9608609865491405e-06,918.0265921770298
496,1,1041.6666666665603,0.002026385334964809,2819.4087911450833,1,1041.6666666665603,0.0020238816334331466,2819.409970038364,5.08632786375782e-06,1043.102624345399,5.9608609865491405e-06,1043.2100666717697
495,1,1141.6666666665406,0.002034656597887039,3087.424468404622,1,1141.6666666665406,0.0020321696777125513,3087.425846423545,4e-06,1143.200687403264,5.9608609865491405e-06,1143.3562484293932
494,1,1224.9999999998577,0.0020430015164323756,3310.089192657511,1,1224.9999999998577,0.0020394344235003365,3310.090908767015,5.567797863316906e-06,1226.6473341582087,5.9608609865491405e-06,1226.8109017015477
493,1,1296.428571428415,0.0020514211360832574,3500.3601002683504,1,1296.428571428415,0.002050926706778354,3500.361819810966,6.35707194423602e-06,1298.1863579486746,5.9608609865491405e-06,1298.3430346320322
492,1,1358.9285714284024,0.002059916522895738,3666.335398752183,1,1358.9285714284024,0.002059022473685552,3666.3371338332854,6.113459052802538e-06,1360.778912973195,5.9608609865491405e-06,1360.9332773107203
491,1,1414.484126983947,0.0020684887640162897,3813.4138906702824,1,1414.484126983947,0.0020669726217431585,3813.4156649475312,6.057853279222752e-06,1416.4156531632195,5.9608609865491405e-06,1416.5687164641956
490,1,1464.4841269839371,0.002077138972229423,3945.3747355773303,1,1464.4841269839371,0.002074219788561104,3945.376639119793,5.8236872098230334e-06,1466.4856003280706,5.9608609865491405e-06,1466.640312801065
489,1,1509.9386724384738,0.0020858682676273884,4064.966411082932,1,1509.9386724384735,0.002081685400073717,4064.9685523156077,5.589413253293917e-06,1512.0009191310778,5.9608609865491405e-06,1512.1596741094072
488,1,1551.6053391051323,0.002094677812456466,4174.250273470209,1,1551.6053391051323,0.0020893640168579823,4174.252761274615,5.271522802030543e-06,1553.7199035348654,5.9608609865491405e-06,1553.885506230281
487,1,1590.0668775666632,0.0021035687830122107,4274.811979614388,1,1590.0668775666632,0.0021011015202010873,4274.814531631224,4.785603100978056e-06,1592.2250959265098,5.9608609865491405e-06,1592.4014290414239
486,1,1625.7811632809419,0.0021125423780803724,4367.897401072791,1,1625.7811632809419,0.0021100335003268536,4367.900017180871,4.961791373481574e-06,1627.981233487311,5.9608609865491405e-06,1628.1660010182006
485,1,1659.1144966142685,0.002121599819092458,4454.50323347766,1,1659.1144966142685,0.002119043082831978,4454.505910840072,4.4986535432421e-06,1661.3498296002717,5.9608609865491405e-06,1661.546068940904
484,1,1690.3644966142624,0.002130742376206926,4535.439290493224,1,1690.3644966142624,0.002128132883983935,4535.442026848483,4.024595821977409e-06,1692.6292767006032,5.9608609865491405e-06,1692.83969581852
483,1,1719.776261320139,0.002139971303955596,4611.372476020231,1,1719.776261320139,0.0021373054459766327,4611.3752695165385,4e-06,1722.068469080712,5.9608609865491405e-06,1722.2923453055096
482,1,1747.5540390979113,0.0021492879131874893,4682.858541898753,1,1747.5540390979113,0.002146563244246298,4682.8613909797405,6.292452836894146e-06,1749.8868357555627,5.9608609865491405e-06,1750.1085704472562
481,1,1773.8698285715907,0.002158693534228676,4750.365488320346,1,1773.8698285715907,0.002155908694331868,4750.36839163693,5.753515645458881e-06,1776.237629023201,5.9608609865491405e-06,1776.460626439872
480,1,1798.869828571586,0.00216818952537431,4814.291114136735,1,1798.869828571586,0.0021653441583194427,4814.294070478416,5.097763330054715e-06,1801.2669620373988,5.9608609865491405e-06,1801.4949302000523
479,1,1822.6793523811052,0.002177777273638299,4874.976388523148,1,1822.6793523811052,0.0021749425725724534,4874.979394215108,5.9565946379280895e-06,1825.1089907736548,5.9608609865491405e-06,1825.3369819421073
478,1,1845.4066251083734,0.0021874581955263696,4932.715783626849,1,1845.4066251083734,0.0021845900048761318,4932.718836887656,5.446844992060923e-06,1847.8645091487733,5.9608609865491405e-06,1848.0951682147595
477,1,1867.1457555431516,0.0021972337378333845,4987.7653609873305,1,1867.1457555431516,0.0021943317412698596,4987.768460155122,4.624901244326735e-06,1869.6264766872002,5.9608609865491405e-06,1869.863738190811
476,1,1887.9790888764808,0.0022071053784661096,5040.349173285216,1,1887.9790888764808,0.0022040318517489955,5040.352321199123,4e-06,1890.4786534099023,5.9608609865491405e-06,1890.7251598964638
475,1,1907.979088876477,0.0022170746272910965,5090.664385741007,1,1907.979088876477,0.0022139513476843948,5090.667581174967,6.226767835912066e-06,1910.5066980280274,5.9608609865491405e-06,1910.7520051947758
474,1,1927.2098581072426,0.0022271430270092564,5138.885412629054,1,1927.2098581072426,0.0022239322923791388,5138.888655674539,5.323232205448628e-06,1929.7604140159456,5.9608609865491405e-06,1930.008472272297
473,1,1945.7283766257574,0.0022373121540575926,5185.167287770067,1,1945.7283766257574,0.002233787792848718,5185.170585443211,4e-06,1948.2954594204302,5.9608609865491405e-06,1948.5516261837404
472,1,1963.5855194828966,0.0022475836195379466,5229.648433149543,1,1963.5855194828966,0.0022437683974348096,5229.651791605824,5.78096042972294e-06,1966.1755374181491,5.9608609865491405e-06,1966.432417870813
471,1,1980.826898793238,0.002257959070174947,5272.452950187852,1,1980.826898793238,0.0022544005894228514,5272.456358446876,6.061389244559211e-06,1983.440030768113,5.9608609865491405e-06,1983.6965274881486
470,1,1997.4935654599012,0.0022684402017769173,5313.692529131588,1,1997.4935654599012,0.002264525902274745,5313.695995409506,5.082435729469529e-06,2000.1253447731067,5.9608609865491405e-06,2000.3850671749178
