,RLS-opt,T[RLS-opt],p-opt,T[p-opt],RLS-drift,t[RLS-drift],p-drift,T[p-drift],p-opt{>0},T[p-opt{>0}],p-drift{>0},T[p-drift{>0}]
500,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
499,1,500.0,0.002,1357.781546565009,1,500.0,0.001999491716240343,858.6544872664169,0.002889239061336793,1121.307873541095,5.9608609865491405e-06,500.74435820955506
498,1,749.9999999999509,0.0020100583111037082,2033.9496006880895,1,749.9999999999509,0.0020075426576684555,1287.2628071272234,0.0029026333644035945,1680.6589729615016,5.9608609865491405e-06,751.1142964418772
497,1,916.6666666665848,0.0020181867021911576,2483.3671668974844,1,916.6666666665848,0.0020156726519974504,1572.808429637703,0.0029138670084268323,2052.9688639361457,5.9608609865491405e-06,918.0265921770298
496,1,1041.6666666665603,0.002026385334964809,2819.4087911450833,1,1041.6666666665603,0.0020238816334331466,1786.8220269128137,0.002925185126178089,2331.7553882380316,5.9608609865491405e-06,1043.2100666717697
495,1,1141.6666666665406,0.002034656597887039,3087.424468404622,1,1141.6666666665406,0.0020321696777125513,1957.9159198932384,0.0029365941925183128,2554.4258956119684,5.9608609865491405e-06,1143.3562484293932
494,1,1224.9999999998577,0.0020430015164323756,3310.089192657511,1,1224.9999999998577,0.0020394344235003365,2100.3517549492185,0.0029480953440771886,2739.68404773419,5.9608609865491405e-06,1226.8109017015477
493,1,1296.428571428415,0.0020514211360832574,3500.3601002683504,1,1296.428571428415,0.002050926706778354,2222.4604099064013,0.002959689720202483,2898.2176397549465,5.9608609865491405e-06,1298.3430346320322
492,1,1358.9285714284024,0.002059916522895738,3666.335398752183,1,1358.9285714284024,0.002059022473685552,2329.2172832560277,0.0029713784793419283,3036.70653346683,5.9608609865491405e-06,1360.9332773107203
491,1,1414.484126983947,0.0020684887640162897,3813.4138906702824,1,1414.484126983947,0.0020669726217431585,2424.028373610241,0.0029831627995194126,3159.6039609347367,5.9608609865491405e-06,1416.5687164641956
490,1,1464.4841269839371,0.002077138972229423,3945.3747355773303,1,1464.4841269839371,0.002074219788561104,2509.2642472129355,0.0029950438787594144,3270.027176310255,5.9608609865491405e-06,1466.640312801065
