,dynamic-RLS-opt,T[dynamic-RLS-opt],dynamic-RLS-drift,T[dynamic-RLS-drift],dynamic-(1+1){>0}-p-opt,T[dynamic-(1+1){>0}-p-opt],dynamic-(1+1){>0}-p-drift,T[dynamic-(1+1){>0}-p-drift],dynamic-(1+1)-p-opt,T[dynamic-(1+1)-p-opt],dynamic-(1+1)-p-drift,T[dynamic-(1+1)-p-drift],dynamic-(1+1)-Baeck,T[dynamic-(1+1)-Baeck],static-RLS-1,T[static-RLS-1],static-(1+1)-1/n,T[static-(1+1)-1/n],old-1+1{>0},T[old-1+1{>0}]
500,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
499,1,500.0,1,500.0,4e-06,500.49933349989146,5.9608609865491405e-06,500.74435820955506,0.002,1357.781546565009,0.001999491716240343,1357.7815905085881,0.002,1357.781546565009,1,500.0,0.002,1357.781546565009,0.002,858.7815465650089
498,1,749.9999999999509,1,749.9999999999509,5.783843566279313e-06,750.8582759410713,5.9608609865491405e-06,751.1142964418772,0.0020100583111037082,2033.9496006880895,0.0020075426576684555,2033.950175655581,0.002008032128514056,2033.9499451453064,1,749.9999999999509,0.002,2033.9581118176395,0.002,1286.4556138166422
497,1,916.6666666665848,1,916.6666666665848,5.9095408897736175e-06,917.7684549220218,5.9608609865491405e-06,918.0265921770298,0.0020181867021911576,2483.3671668974844,0.0020156726519974504,2483.368090136091,0.0020161290322580645,2483.3677446454135,1,916.6666666665848,0.002,2483.394037837151,0.002,1570.7187786868335
496,1,1041.6666666665603,1,1041.6666666665603,4.788278938713464e-06,1042.915809019909,5.9608609865491405e-06,1043.2100666717697,0.002026385334964809,2819.4087911450833,0.0020238816334331466,2819.409970038364,0.0020242914979757085,2819.40954770278,1,1041.6666666665603,0.002,2819.4643447072563,0.002,1783.2794653588765
495,1,1141.6666666665406,1,1141.6666666665406,4e-06,1143.0138721512121,5.9608609865491405e-06,1143.3562484293932,0.002034656597887039,3087.424468404622,0.0020321696777125513,3087.425846423545,0.0020325203252032522,3087.425371917471,1,1141.6666666665406,0.002,3087.5191966474977,0.002,1952.82114229201
494,1,1224.9999999998577,1,1224.9999999998577,4.948579898556914e-06,1226.447906671568,5.9608609865491405e-06,1226.8109017015477,0.0020430015164323756,3310.089192657511,0.0020394344235003365,3310.090908767015,0.0020408163265306124,3310.0902226209264,1,1224.9999999998577,0.002,3310.2336549274537,0.002,2093.6855305346667
493,1,1296.428571428415,1,1296.428571428415,4e-06,1297.945950552519,5.9608609865491405e-06,1298.3430346320322,0.0020514211360832574,3500.3601002683504,0.002050926706778354,3500.361819810966,0.0020491803278688526,3500.361242700783,1,1296.428571428415,0.002,3500.564879695808,0.002,2214.0678880499036
492,1,1358.9285714284024,1,1358.9285714284024,5.799276557329046e-06,1360.533745371999,5.9608609865491405e-06,1360.9332773107203,0.002059916522895738,3666.335398752183,0.002059022473685552,3666.3371338332854,0.00205761316872428,3666.3366437866957,1,1358.9285714284024,0.002,3666.6110806657416,0.002,2319.0902413371123
491,1,1414.484126983947,1,1414.484126983947,4e-06,1416.1428894931162,5.9608609865491405e-06,1416.5687164641956,0.0020684887640162897,3813.4138906702824,0.0020669726217431585,3813.4156649475312,0.002066115702479339,3813.415231221169,1,1414.484126983947,0.002,3813.7710507517077,0.002,2412.1672661520433
