,dynamic-RLS-opt,T[dynamic-RLS-opt],dynamic-RLS-drift,T[dynamic-RLS-drift],dynamic-(1+1){>0}-p-opt,T[dynamic-(1+1){>0}-p-opt],dynamic-(1+1){>0}-p-drift,T[dynamic-(1+1){>0}-p-drift],dynamic-(1+1)-p-opt,T[dynamic-(1+1)-p-opt],dynamic-(1+1)-p-drift,T[dynamic-(1+1)-p-drift],dynamic-(1+1)-Baeck,T[dynamic-(1+1)-Baeck],static-RLS-1,T[static-RLS-1],static-(1+1)-1/n,T[static-(1+1)-1/n],old-1+1{>0},T[old-1+1{>0}],static-(1+1)-opt,T[static-(1+1)-opt],dynamic-(1+1){>0}-p-drift-1/2n,T[dynamic-(1+1){>0}-p-drift-1/2n],dynamic-(1+1){>0}-p-drift-1/n,T[dynamic-(1+1){>0}-p-drift-1/n],dynamic-(1+1){>0}-p-opt-1/2n,T[dynamic-(1+1){>0}-p-opt-1/2n],dynamic-(1+1){>0}-p-opt-1/n,T[dynamic-(1+1){>0}-p-opt-1/n],old-1+1{>0}-1/2n,T[old-1+1{>0}-1/2n]
2499,1,2500.0,1,2500.0,1.6e-07,2500.499867092535,0.9999940391390134,inf,0.0004,6794.345384918873,0.0004005675857236256,6794.352221266418,0.0004,6794.345384918873,1,2500.0,0.0004,6794.345384918873,0.0004,4295.345384918874,0.00043828694102689825,6823.691667591605,0.0002,3243.369795371092,0.0004,4295.345384918874,0.0002,3243.369795371092,0.0004,4295.345384918874,0.0002,3243.369795371092
2498,1,3749.9999999995084,1,3749.9999999995084,1.6e-07,3750.7495005388187,0.9999940391390134,,0.00040040046449654184,10188.798911305943,0.0004008884262440751,10188.808265956213,0.00040032025620496394,10188.798979449086,1,3749.9999999995084,0.0004,10188.800610889424,0.0004,6441.300110969418,0.00043828694102689825,10232.475560556133,0.0002,4864.487123607226,0.0004,6441.300110969418,0.0002,4864.487123607226,0.0004,6441.300110969418,0.0002,4864.487123607226
2497,1,4583.333333332514,1,4583.333333332514,1.6e-07,4584.249122783077,0.9999940391390134,,0.00040072148056279023,12450.40839405876,0.00040120990153065555,12450.419426602488,0.00040064102564102563,12450.408507773578,1,4583.333333332514,0.0004,12450.413763761553,0.0004,7871.078708952352,0.00043828694102689825,12503.457444061596,0.0002,5944.961902128445,0.0004,7871.078708952352,0.0002,5944.961902128445,0.0004,7871.078708952352,0.0002,5944.961902128445
2496,1,5208.333333332268,1,5208.333333332268,1.6e-07,5209.3737394263535,0.9999940391390134,,0.0004010430441496957,14145.59571835635,0.00040153201117127096,14145.608008851523,0.00040096230954290296,14145.595866398322,1,5208.333333332268,0.0004,14145.606829211472,0.0004,8942.769842934018,0.00043828694102689825,14205.539530560094,0.0002,6755.115489496087,0.0004,8942.769842934018,0.0002,6755.115489496087,0.0004,8942.769842934018,0.0002,6755.115489496087
2495,1,5708.3333333320725,1,5708.3333333320725,1.6e-07,5709.473352709064,0.9999940391390134,,0.00040136516754242974,15500.929674338346,0.0004018547548131135,15500.942971119512,0.0004012841091492777,15500.92984999077,1,5708.3333333320725,0.0004,15500.948636738434,0.0004,9799.609000812367,0.00043828694102689825,15566.282747291196,0.0002,7403.0764334195865,0.0004,9799.609000812367,0.0002,7403.0764334195865,0.0004,9799.609000812367,0.0002,7403.0764334195865
2494,1,6124.999999998575,1,6124.999999998575,1.6e-07,6126.222963751421,0.9999940391390134,,0.0004016878522872818,16629.69465694278,0.0004021781321470613,16629.708792475412,0.00040160642570281126,16629.694855752772,1,6124.999999998575,0.0004,16629.72360024159,0.0004,10513.213925998716,0.00043828694102689825,16699.467556666215,0.0002,7942.90900771979,0.0004,10513.213925998716,0.0002,7942.90900771979,0.0004,10513.213925998716,0.0002,7942.90900771979
2493,1,6482.142857141293,1,6482.142857141293,1.6e-07,6483.436858907828,0.9999940391390134,,0.00040201109993638916,17596.62460602047,0.0004025021429144457,17596.639460839408,0.00040192926045016077,17596.624824829174,1,6482.142857141293,0.0004,17596.665669792656,0.0004,11124.509042839418,0.00043828694102689825,17670.11136474336,0.0002,8405.507083122455,0.0004,11124.509042839418,0.0002,8405.507083122455,0.0004,11124.509042839418,0.0002,8405.507083122455
2492,1,6794.64285714117,1,6794.64285714117,1.6e-07,6795.998967149789,0.9999940391390134,,0.0004023349120477774,18442.178233878814,0.00040282678690458555,18442.193718556682,0.00040225261464199515,18442.178470336734,1,6794.64285714117,0.0004,18442.233563550664,0.0004,11659.072116149006,0.00043828694102689825,18518.85004940595,0.0002,8810.17932880581,0.0004,11659.072116149006,0.0002,8810.17932880581,0.0004,11659.072116149006,0.0002,8810.17932880581
2491,1,7072.420634918838,1,7072.420634918838,1.6e-07,7073.831907791639,0.9999940391390134,,0.00040265929018539517,19193.32801530073,0.00040327594541407524,19193.34437803754,0.00040257648953301127,19193.328267597888,1,7072.420634918838,0.0004,19193.399759724096,0.0004,12133.954988780468,0.00043828694102689825,19272.774195108268,0.0002,9169.798190866153,0.0004,12133.954988780468,0.0002,9169.798190866153,0.0004,12133.954988780468,0.0002,9169.798190866153
2490,1,7322.42063491874,1,7322.42063491874,1.6e-07,7323.881514353414,0.9999940391390134,,0.00040298423591914934,19868.954682554264,0.0004037482583675189,19868.972254962595,0.00040290088638195,19868.954949258576,1,7322.42063491874,0.0004,19869.04499255188,0.0004,12561.093950410386,0.00043828694102689825,19950.84721024846,0.0002,9493.374381550617,0.0004,12561.093950410386,0.0002,9493.374381550617,0.0004,12561.093950410386,0.0002,9493.374381550617
2489,1,7549.693362191379,1,7549.693362191379,1.6e-07,7551.199302122409,0.9999940391390134,,0.00040330975082492044,20482.78967721584,0.00040421982779107504,20482.808805422057,0.0004032258064516129,20482.7899571703,1,7549.693362191379,0.0004,20482.900704656746,0.0004,12949.16993869446,0.00043828694102689825,20566.86066391743,0.0002,9787.461146111445,0.0004,12949.16993869446,0.0002,9787.461146111445,0.0004,12949.16993869446,0.0002,9787.461146111445
2488,1,7758.026695524631,1,7758.026695524631,1.6e-07,7759.573907564103,0.9999940391390134,,0.0004036358364846017,21045.13158040057,0.0004046906654848738,21045.15261895266,0.0004035512510088781,21045.13187265496,1,7758.026695524631,0.0004,21045.265477584628,0.0004,13304.693656608248,0.00043828694102689825,21131.15823233568,0.0002,10056.973418470952,0.0004,13304.693656608248,0.0002,10056.973418470952,0.0004,13304.693656608248,0.0002,10056.973418470952
2487,1,7950.334387832248,1,7950.334387832248,1.6e-07,7951.919666421164,0.9999940391390134,,0.00040396249448613293,21563.902377519484,0.00040516078318973366,21563.925685160557,0.0004038772213247173,21563.902681282765,1,7950.334387832248,0.0004,21564.061296752003,0.0004,13632.673336964514,0.00043828694102689825,21651.69658896828,0.0002,10305.691917015367,0.0004,13632.673336964514,0.0002,10305.691917015367,0.0004,13632.673336964514,0.0002,10305.691917015367
2486,1,8128.905816403606,1,8128.905816403606,1.6e-07,8130.526413919979,0.9999940391390134,,0.00040428972642351797,22045.32648562325,0.0004056301925876583,22045.3524223258,0.0004042037186742118,22045.326800229832,1,8128.905816403606,0.0004,22045.51257891202,0.0004,13937.044019602989,0.00043828694102689825,22134.727405313042,0.0002,10536.587206176584,0.0004,13937.044019602989,0.0002,10536.587206176584,0.0004,13937.044019602989,0.0002,10536.587206176584
2485,1,8295.572483070206,1,8295.572483070206,1.6e-07,8297.226018241656,0.9999940391390134,,0.0004046175338968604,22494.383438298413,0.0004060989053028013,22494.41236313752,0.0004045307443365696,22494.3837631831,1,8295.572483070206,0.0004,22494.598857131954,0.0004,14220.9537361835,0.00043828694102689825,22585.252018092673,0.0002,10752.035737486645,0.0004,14220.9537361835,0.0002,10752.035737486645,0.0004,14220.9537361835,0.0002,10752.035737486645
2484,1,8451.822483070146,1,8451.822483070146,1.6e-07,8453.506872283342,0.9999940391390134,,0.0004049459185124126,22915.11910653288,0.00040323359358494483,22915.15178530577,0.0004048582995951417,22915.11944121258,1,8451.822483070146,0.0004,22915.366001715178,0.0004,14486.960262231278,0.00043828694102689825,23007.334012949337,0.0002,10953.96837780274,0.0004,14486.960262231278,0.0002,10953.96837780274,0.0004,14486.960262231278,0.0002,10953.96837780274
2483,1,8598.8813065995,1,8598.8813065995,1.6e-07,8600.594711372107,0.9999940391390134,,0.00040527488188257555,23310.865384033445,0.0004037009475621857,23310.901034998224,0.0004051863857374392,23310.865728092675,1,8598.8813065995,0.0004,23311.145905557834,0.0004,14737.170000933642,0.00043828694102689825,23404.31987175852,0.0002,11143.975252760098,0.0004,14737.170000933642,0.0002,11143.975252760098,0.0004,14737.170000933642,0.0002,11143.975252760098
2482,1,8737.770195488334,1,8737.770195488334,1.6e-07,8739.510981613836,0.9999940391390134,,0.0004056044256259447,23684.39884884344,0.0004041676393735791,23684.436832056876,0.00040551500405515005,23684.399201923574,1,8737.770195488334,0.0004,23684.71514579535,0.0004,14973.338288104262,0.00043828694102689825,23778.99832902231,0.0002,11323.38146704355,0.0004,14973.338288104262,0.0002,11323.38146704355,0.0004,14973.338288104262,0.0002,11323.38146704355
2481,1,8869.349142856703,1,8869.349142856703,1.6e-07,8871.115848150326,0.9999940391390134,,0.0004059345513673465,24038.057671903418,0.00040463368040793095,24038.097460954396,0.00040584415584415587,24038.058033693746,1,8869.349142856703,0.0004,24038.41189238409,0.0004,15196.943301104182,0.00043828694102689825,24133.71779236973,0.0002,11493.302898271837,0.0004,15196.943301104182,0.0002,11493.302898271837,0.0004,15196.943301104182,0.0002,11493.302898271837
2480,1,8994.349142856656,1,8994.349142856656,1.6e-07,8996.14045135211,0.9999940391390134,,0.00040626526073785714,24373.829298471515,0.0004050990819967157,24373.87046204874,0.00040617384240454913,24373.829668702663,1,8994.349142856656,0.0004,24374.223589537527,0.0004,15409.241490532628,0.00043828694102689825,24470.47440793203,0.0002,11654.68804241083,0.0004,15409.241490532628,0.0002,11654.68804241083,0.0004,15409.241490532628,0.0002,11654.68804241083
2479,1,9113.396761904229,1,9113.396761904229,1.6e-07,9115.211482965358,0.9999940391390134,,0.0004065965553748489,24693.41725301545,0.00040556385540878987,24693.459440013427,0.0004065040650406504,24693.41763145325,1,9113.396761904229,0.0004,24693.853760630074,0.0004,15611.309813896147,0.00043828694102689825,24790.97915777141,0.0002,11808.349895993126,0.0004,15611.309813896147,0.0002,11808.349895993126,0.0004,15611.309813896147,0.0002,11808.349895993126
2478,1,9227.033125540547,1,9227.033125540547,1.6e-07,9228.87017677085,0.9999940391390134,,0.00040692843692201477,24998.292761173976,0.00040602801186077377,24998.335688537372,0.0004068348250610252,24998.293147615357,1,9227.033125540547,0.0004,24998.773630168165,0.0004,15804.078370716596,0.00043828694102689825,25096.709707894148,0.0002,11954.990592378648,0.0004,15804.078370716596,0.0002,11954.990592378648,0.0004,15804.078370716596,0.0002,11954.990592378648
2477,1,9335.728777714416,1,9335.728777714416,1.6e-07,9337.587170838835,0.9999940391390134,,0.0004072609070293779,25289.735149553344,0.0004064915625052243,25289.778592263512,0.00040716612377850165,25289.73554382237,1,9335.728777714416,0.0004,25290.26252359374,0.0004,15988.355943050457,0.00043828694102689825,25388.950984956547,0.0002,12095.22068230645,0.0004,15988.355943050457,0.0002,12095.22068230645,0.0004,15988.355943050457,0.0002,12095.22068230645
2476,1,9439.89544438104,1,9439.89544438104,1.6e-07,9441.774273480773,0.9999940391390134,,0.0004075939673533821,25568.86382889921,0.0004069545184399529,25568.907611655763,0.00040749796251018743,25568.864230844007,1,9439.89544438104,0.0004,25569.439850461982,0.0004,16164.8502150666,0.00043828694102689825,25668.82729949049,0.0002,12229.574397664821,0.0004,16164.8502150666,0.0002,12229.574397664821,0.0004,16164.8502150666,0.0002,12229.574397664821
2475,1,9539.895444381,1,9539.895444381,1.6e-07,9541.793876010754,0.9999940391390134,,0.00040792761955684966,25836.6638806343,0.0004074168907030705,25836.707870892693,0.0004078303425774878,25836.66429012436,1,9539.895444381,0.0004,25837.290690983547,0.0004,16334.1839487085,0.00043828694102689825,25937.3280444838,0.0002,12358.521862507456,0.0004,16334.1839487085,0.0002,12358.521862507456,0.0004,16334.1839487085,0.0002,12358.521862507456
