,dynamic-RLS-opt,T[dynamic-RLS-opt],dynamic-RLS-drift,T[dynamic-RLS-drift],dynamic-(1+1){>0}-p-opt,T[dynamic-(1+1){>0}-p-opt],dynamic-(1+1){>0}-p-drift,T[dynamic-(1+1){>0}-p-drift],dynamic-(1+1)-p-opt,T[dynamic-(1+1)-p-opt],dynamic-(1+1)-p-drift,T[dynamic-(1+1)-p-drift],dynamic-(1+1)-Baeck,T[dynamic-(1+1)-Baeck],static-RLS-1,T[static-RLS-1],static-(1+1)-1/n,T[static-(1+1)-1/n],old-1+1{>0},T[old-1+1{>0}]
2000,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
1999,1,2000.0,1,2000.0,3.7795263041462433e-06,2007.574355587688,2.5e-07,2000.49983362343,0.0005,5435.20445935823,0.9999940391390134,inf,0.0005,5435.20445935823,1,2000.0,0.0005,5435.20445935823,0.0005,3436.2044593582295
1998,1,3000.000000000197,1,3000.000000000197,6.167026772098631e-06,3013.754400874889,2.5e-07,3000.749375278927,0.000500625907462191,8150.087301652764,0.9999940391390134,,0.0005005005005005005,8150.0873868902745,1,3000.000000000197,0.0005,8150.089426338052,0.0005,5152.588801463035
1997,1,3666.666666666995,1,3666.666666666995,6.298175952505448e-06,3684.6248220002853,2.5e-07,3667.582236299393,0.0005011278933037427,9958.649562793455,0.9999940391390134,,0.000501002004008016,9958.64970507928,1,3666.666666666995,0.0005,9958.656275267158,0.0005,6295.987456988766
1996,1,4166.666666667093,1,4166.666666667093,5.8272014213911275e-06,4187.538006681486,2.5e-07,4167.706757002401,0.0005016309502488404,11314.051362332499,0.9999940391390134,,0.0005015045135406219,11314.051547636902,1,4166.666666667093,0.0005,11314.065250870819,0.0005,7152.894018839323
1995,1,4566.666666667171,1,4566.666666667171,5.349540455345007e-06,4589.674675526652,2.5e-07,4567.806273514985,0.0005021351030918684,12397.55679311944,0.9999940391390134,,0.000502008032128514,12397.557013071768,1,4566.666666667171,0.0005,12397.580494759244,0.0005,7837.905951816662
1994,1,4900.00000000057,1,4900.00000000057,4.616708562772112e-06,4924.5423476269725,2.5e-07,4901.222453900661,0.0005026403556211353,13299.797901372214,0.9999940391390134,,0.0005025125628140704,13299.798150431638,1,4900.00000000057,0.0005,13299.834076410354,0.0005,8408.321987482697
1993,1,5185.714285714912,1,5185.714285714912,4.643372676337893e-06,5211.57806397055,2.5e-07,5187.00767991001,0.0005031467116429348,14072.564427608982,0.9999940391390134,,0.0005030181086519115,14072.564701852141,1,5185.714285714912,0.0005,14072.615748676219,0.0005,8896.88425744076
1992,1,5435.71428571496,1,5435.71428571496,3.945716430402829e-06,5462.559142388771,2.5e-07,5437.069690137145,0.0005036541749817069,14748.224959496876,0.9999940391390134,,0.0005035246727089627,14748.225256012192,1,5435.71428571496,0.0005,14748.294106098023,0.0005,9324.056593316198
1991,1,5657.9365079372255,1,5657.9365079372255,6.588503430507413e-06,5686.238609627271,2.5e-07,5659.3469769781395,0.0005041627494801516,15348.358555341596,0.9999940391390134,,0.0005040322580645161,15348.358871892135,1,5657.9365079372255,0.0005,15348.448210823784,0.0005,9703.481548969898
1990,1,5857.936507937266,1,5857.936507937266,5.904436979409075e-06,5887.412217176687,2.5e-07,5859.396485110249,0.0005046724389993449,15888.07055583084,0.9999940391390134,,0.0005045408678102926,15888.070890652774,1,5857.936507937266,0.0005,15888.183405567235,0.0005,10044.708911605121
1989,1,6039.754689755483,1,6039.754689755483,5.1218256538459754e-06,6070.154482620454,2.5e-07,6041.259628844202,0.0005051832474188557,16378.346663168164,0.9999940391390134,,0.000505050505050505,16378.347014842022,1,6039.754689755483,0.0005,16378.485393403567,0.0005,10354.683980553005
1988,1,6206.421356422183,1,6206.421356422183,6.172376057736615e-06,6237.841643792143,2.5e-07,6207.967468913048,0.0005056951786368432,16827.4261539003,0.9999940391390134,,0.0005055611729019212,16827.426521265625,1,6206.421356422183,0.0005,16827.593450983586,0.0005,10638.615729897425
1987,1,6360.267510268367,1,6360.267510268367,6.075627991206273e-06,6392.614016331313,2.5e-07,6361.8515904960495,0.0005062082365702009,17241.646932965225,0.9999940391390134,,0.0005060728744939271,17241.64731506115,1,6360.267510268367,0.0005,17241.845482819397,0.0005,10900.511062398036
1986,1,6503.124653125538,1,6503.124653125538,5.979486560525973e-06,6536.31669226873,2.5e-07,6504.7439533769175,0.000506722425154649,17625.98878272289,0.9999940391390134,,0.0005065856129685917,17625.989178745916,1,6503.124653125538,0.0005,17626.22127046801,0.0005,11143.518258440756
1985,1,6636.457986458899,1,6636.457986458899,5.883896542609215e-06,6670.425731973598,2.5e-07,6638.11012538262,0.0005072377483448612,17984.43552897551,0.9999940391390134,,0.0005070993914807302,17984.43593824872,1,6636.457986458899,0.0005,17984.70463865374,0.0005,11370.155942004742
1984,1,6761.457986458922,1,6761.457986458922,5.789232682729192e-06,6796.140480685753,2.5e-07,6763.140880372569,0.0005077542101145816,18320.224030107052,0.9999940391390134,,0.0005076142131979696,18320.22445205662,1,6761.457986458922,0.0005,18320.5324444774,0.0005,11582.470494764735
1983,1,6879.105045282475,1,6879.105045282475,5.686673300561038e-06,6914.447606325045,2.5e-07,6880.816855642751,0.0005082718144567483,18636.019934122174,0.9999940391390134,,0.0005081300813008131,18636.02036825984,1,6879.105045282475,0.0005,18636.370334505078,0.0005,11782.147171927962
1982,1,6990.216156393608,1,6990.216156393608,5.582004402048301e-06,7026.16997112314,2.5e-07,6991.9552489398175,0.0005087905653836005,18934.04461428593,0.9999940391390134,,0.000508646998982706,18934.045060195345,1,6990.216156393608,0.0005,18934.439680443433,0.0005,11970.59035256082
1981,1,7095.479314288365,1,7095.479314288365,5.398465601663429e-06,7131.992529890769,2.5e-07,7097.244226787268,0.0005093104669268172,19216.168700647784,0.9999940391390134,,0.0005091649694501018,19216.169157973545,1,7095.479314288365,0.0005,19216.611110689828,0.0005,12148.982671408496
1980,1,7195.479314288385,1,7195.479314288385,5.02477170752884e-06,7232.486546458126,2.5e-07,7197.26873073008,0.0005098315231376264,19483.982228684265,0.9999940391390134,,0.0005096839959225281,19483.98269712339,1,7195.479314288385,0.0005,19484.474658995026,0.0005,12318.329367759732
1979,1,7290.717409526499,1,7290.717409526499,6.13912415378416e-06,7328.299304379494,2.5e-07,7292.53013923537,0.0005103537380869291,19738.848085884136,0.9999940391390134,,0.0005102040816326531,19738.848565179032,1,7290.717409526499,0.0005,19739.393211063227,0.0005,12479.49207505802
1978,1,7381.626500435607,1,7381.626500435607,5.5333546659912806e-06,7419.702100731469,2.5e-07,7383.461460979289,0.0005108771158654388,19981.943311382296,0.9999940391390134,,0.0005107252298263534,19981.943801315232,1,7381.626500435607,0.0005,19982.543804197663,0.0005,12633.21493105575
1977,1,7468.583022174755,1,7468.583022174755,6.344641602547375e-06,7507.199832410902,2.5e-07,7470.439225245447,0.0005114016605837607,20214.29141741248,0.9999940391390134,,0.0005112474437627812,20214.291917800787,1,7468.583022174755,0.0005,20214.949948762263,0.0005,12780.145011847857
1976,1,7551.916355508104,1,7551.916355508104,6.258472884343763e-06,7591.044219751484,2.5e-07,7553.792895156998,0.0005119273763725721,20436.787977123848,0.9999940391390134,,0.0005117707267144319,20436.788487816113,1,7551.916355508104,0.0005,20437.507216005557,0.0005,12920.848508815163
1975,1,7631.916355508121,1,7631.916355508121,6.172481213864442e-06,7671.5275642588385,2.5e-07,7633.8123982623265,0.0005124542673827275,20650.22109483423,0.9999940391390134,,0.0005122950819672131,20650.2216157072,1,7631.916355508121,0.0005,20651.003708319728,0.0005,13055.823670178994
1974,1,7708.839432431214,1,7708.839432431214,6.0866645564119895e-06,7748.9084351716465,2.5e-07,7710.754208931144,0.000512982337785358,20855.287939696424,0.9999940391390134,,0.0005128205128205128,20855.28847065215,1,7708.839432431214,0.0005,20856.136592911425,0.0005,13185.511253795348
1973,1,7782.913506505302,1,7782.913506505302,5.999661801905208e-06,7823.416572906154,2.5e-07,7784.846304380984,0.0005135115917720553,21052.60821757422,0.9999940391390134,,0.000513347022587269,21052.608758537914,1,7782.913506505302,0.0005,21053.525573681676,0.0005,13310.303044246408
1972,1,7854.342077933888,1,7854.342077933888,5.9135190989189865e-06,7895.257246257491,2.5e-07,7856.292235698925,0.0005140420335549562,21242.735237226443,0.9999940391390134,,0.0005138746145940391,21242.735788144422,1,7854.342077933888,0.0005,21243.723957412938,0.0005,13430.548849022864
1971,1,7923.30759517528,1,7923.30759517528,5.826745078836368e-06,7964.614388485487,2.5e-07,7925.274496963035,0.0005145736673668601,21426.165068528055,0.9999940391390134,,0.00051440329218107,21426.16562936624,1,7923.30759517528,0.0005,21427.227811992896,0.0005,13546.562288467887
1970,1,7989.9742618419605,1,7989.9742618419605,5.965584347166604e-06,8031.6682794192075,2.5e-07,7991.957332843581,0.000515106497461433,21603.344174321253,0.9999940391390134,,0.0005149330587023687,21603.344745063623,1,7989.9742618419605,0.0005,21604.48359826759,0.0005,13658.625620730481
1969,1,8054.490390874232,1,8054.490390874232,5.882053982996065e-06,8096.5534900777375,2.5e-07,8056.489093365314,0.0005156405281132461,21774.67581132266,0.9999940391390134,,0.0005154639175257732,21774.676391970235,1,8054.490390874232,0.0005,21775.89457095053,0.0005,13766.9937885005
1968,1,8116.9903908742435,1,8116.9903908742435,5.798591614621485e-06,8159.405579559406,2.5e-07,8119.00422073817,0.0005161757636179912,21940.525430888927,0.9999940391390134,,0.0005159958720330237,21940.526021458587,1,8116.9903908742435,0.0005,21941.826179389715,0.0005,13871.897833441351
1967,1,8177.596451480315,1,8177.596451480315,5.7151894936449544e-06,8220.347781750412,2.5e-07,8179.624935152997,0.0005167122082925461,22101.225261484426,0.9999940391390134,,0.0005165289256198347,22101.225862008123,1,8177.596451480315,0.0005,22102.61065003665,0.0005,13973.5477932844
1966,1,8236.419980892091,1,8236.419980892091,5.570655573732509e-06,8279.488955125807,2.5e-07,8238.462672666155,0.0005172498664751398,22257.078217256676,0.9999940391390134,,0.000517063081695967,22257.07882778062,1,8236.419980892091,0.0005,22258.55089502283,0.0005,14072.135172880086
1965,1,8293.562838034959,1,8293.562838034959,5.373836480205893e-06,8336.929131435918,2.5e-07,8295.619317672035,0.0005177887425255347,22408.361248243742,0.9999940391390134,,0.0005175983436853002,22408.361868827804,1,8293.562838034959,0.0005,22409.923862368207,0.0005,14167.835062241724
1964,1,8349.118393590525,1,8349.118393590525,5.067613062315205e-06,8392.756938655395,2.5e-07,8351.188264198827,0.0005183288408250765,22555.32822527528,0.9999940391390134,,0.0005181347150259067,22555.32885599239,1,8349.118393590525,0.0005,22556.98342088286,0.0005,14260.80796041656
1963,1,8403.17244764459,1,8403.17244764459,4.761467063739915e-06,8447.059576329684,2.5e-07,8405.255333785944,0.0005188701657768631,22698.212435021866,0.9999940391390134,,0.0005186721991701245,22698.213075957505,1,8403.17244764459,0.0005,22699.962855217138,0.0005,14351.20135288775
1962,1,8455.80402659197,1,8455.80402659197,5.465823372933849e-06,8499.968837934015,2.5e-07,8457.899572588118,0.0005194127218059119,22837.22874674839,0.9999940391390134,,0.0005192107995846313,22837.229398000258,1,8455.80402659197,0.0005,22839.07703261568,0.0005,14439.1510814235
1961,1,8507.086077874032,1,8507.086077874032,5.067703407004319e-06,8551.501415088298,2.5e-07,8509.193946286625,0.0005199565133593033,22972.575501278738,0.9999940391390134,,0.0005197505197505198,22972.57616295633,1,8507.086077874032,0.0005,22974.524291882542,0.0005,14524.782538304442
1960,1,8557.08607787404,1,8557.08607787404,4.558292679764419e-06,8601.720824828595,2.5e-07,8559.205948136661,0.0005205015449062485,23104.436163839608,0.9999940391390134,,0.0005202913631633715,23104.43683606398,1,8557.08607787404,0.0005,23106.488096225552,0.0005,14608.211711272646
1959,1,8605.866565678927,1,8605.866565678927,4.064085961813131e-06,8650.691905082436,2.5e-07,8607.998132862547,0.0005210478209382928,23232.98077533827,0.9999940391390134,,0.0005208333333333333,23232.981458241724,1,8605.866565678927,0.0005,23235.13848453443,0.0005,14689.546101047807
1958,1,8653.485613297984,1,8653.485613297984,3.535042195335154e-06,8698.472565357406,2.5e-07,8655.628586994011,0.0005215953459695064,23358.367230868964,0.9999940391390134,,0.0005213764337851929,23358.367924594917,1,8653.485613297984,0.0005,23360.633349887594,0.0005,14768.885529615314
1957,1,8699.99724120497,1,8699.99724120497,6.33917376723554e-06,8745.267471965519,2.5e-07,8702.151344512195,0.0005221441245364774,23480.742409555893,0.9999940391390134,,0.0005219206680584551,23480.743114258617,1,8699.99724120497,0.0005,23483.11956939538,0.0005,14846.322854527336
1956,1,8745.451786659525,1,8745.451786659525,5.811078455469102e-06,8790.975427999636,2.5e-07,8747.616755263161,0.0005226941611985998,23600.243176004915,0.9999940391390134,,0.0005224660397074191,23600.243891849437,1,8745.451786659525,0.0005,23602.734005652073,0.0005,14921.944602033298
