,dynamic-RLS-opt,T[dynamic-RLS-opt],dynamic-RLS-drift,T[dynamic-RLS-drift],dynamic-(1+1){>0}-p-opt,T[dynamic-(1+1){>0}-p-opt],dynamic-(1+1){>0}-p-drift,T[dynamic-(1+1){>0}-p-drift],dynamic-(1+1)-p-opt,T[dynamic-(1+1)-p-opt],dynamic-(1+1)-p-drift,T[dynamic-(1+1)-p-drift],dynamic-(1+1)-Baeck,T[dynamic-(1+1)-Baeck],static-RLS-1,T[static-RLS-1],static-(1+1)-1/n,T[static-(1+1)-1/n],old-1+1{>0},T[old-1+1{>0}],dynamic-(1+1){>0}-p-drift-1/2n,T[dynamic-(1+1){>0}-p-drift-1/2n],dynamic-(1+1){>0}-p-drift-1/n,T[dynamic-(1+1){>0}-p-drift-1/n],dynamic-(1+1){>0}-p-opt-1/2n,T[dynamic-(1+1){>0}-p-opt-1/2n],dynamic-(1+1){>0}-p-opt-1/n,T[dynamic-(1+1){>0}-p-opt-1/n],old-1+1{>0}-1/2n,T[old-1+1{>0}-1/2n]
3499,1,3500.0,1,3500.0,8.16326530612245e-08,3500.4999056433057,0.9999940391390134,inf,0.00028571428571428574,9512.627226328901,0.00028527996033209324,9512.63823162152,0.00028571428571428574,9512.627226328901,1,3500.0,0.00028571428571428574,9512.627226328901,0.00028571428571428574,6013.627226328901,0.00014285714285714287,4540.812341678361,0.00028571428571428574,6013.627226328901,0.00014285714285714287,4540.812341678361,0.00028571428571428574,6013.627226328901,0.00014285714285714287,4540.812341678361
3498,1,5249.999999998253,1,5249.999999998253,8.16326530612245e-08,5250.749644128229,0.9999940391390134,,0.00028591853657251875,14266.221926225728,0.0002854523348316389,14266.23925773845,0.0002858776443682104,14266.221974859794,1,5249.999999998253,0.00028571428571428574,14266.223140079888,0.00028571428571428574,9018.722782977846,0.00014285714285714287,6810.650925451255,0.00028571428571428574,9018.722782977846,0.00014285714285714287,6810.650925451255,0.00028571428571428574,9018.722782977846,0.00014285714285714287,6810.650925451255
3497,1,6416.666666663755,1,6416.666666663755,8.16326530612245e-08,6417.582707852897,0.9999940391390134,,0.0002860821718808021,17433.925637462846,0.00028562497629809104,17433.947017238184,0.0002860411899313501,17433.92571859405,1,6416.666666663755,0.00028571428571428574,17433.929472741867,0.00028571428571428574,11021.26157629731,0.00014285714285714287,8323.606485703362,0.00028571428571428574,11021.26157629731,0.00014285714285714287,8323.606485703362,0.00028571428571428574,11021.26157629731,0.00014285714285714287,8323.606485703362
3496,1,7291.666666662881,1,7291.666666662881,8.16326530612245e-08,7292.707434197448,0.9999940391390134,,0.0002862460063560145,19808.68375692059,0.0002857978847474677,19808.708048065444,0.00028620492272467084,19808.68386250029,1,7291.666666662881,0.00028571428571428574,19808.691693270415,0.00028571428571428574,12522.522416825275,0.00014285714285714287,9458.120594001775,0.00028571428571428574,12522.522416825275,0.00014285714285714287,9458.120594001775,0.00028571428571428574,12522.522416825275,0.00014285714285714287,9458.120594001775
3495,1,7991.666666662182,1,7991.666666662182,8.16326530612245e-08,7992.807158113939,0.9999940391390134,,0.00028641004430589426,21707.67446914948,0.000285971060196097,21707.7009911531,0.000286368843069874,21707.67459436336,1,7991.666666662182,0.00028571428571428574,21707.68801461779,0.00028571428571428574,13723.016844815196,0.00014285714285714287,10365.569882042118,0.00028571428571428574,13723.016844815196,0.00014285714285714287,10365.569882042118,0.00028571428571428574,13723.016844815196,0.00014285714285714287,10365.569882042118
3494,1,8574.999999994934,1,8574.999999994934,8.16326530612245e-08,8576.223547078398,0.9999940391390134,,0.0002865742861316795,23289.486866357754,0.0002861445026669839,23289.515166930112,0.00028653295128939826,23289.487008009237,1,8574.999999994934,0.00028571428571428574,23289.507542825613,0.00028571428571428574,14723.000630119097,0.00014285714285714287,11121.642665654897,0.00028571428571428574,14723.000630119097,0.00014285714285714287,11121.642665654897,0.00028571428571428574,14723.000630119097,0.00014285714285714287,11121.642665654897
3493,1,9074.999999994436,1,9074.999999994436,8.16326530612245e-08,9076.294696791409,0.9999940391390134,,0.00028673873223568103,24644.743286892746,0.00028631821218236806,24644.773044182046,0.00028669724770642203,24644.743442709114,1,9074.999999994436,0.00028571428571428574,24644.772623831326,0.00028571428571428574,15579.762783845796,0.00014285714285714287,11769.589411014169,0.00028571428571428574,15579.762783845796,0.00014285714285714287,11769.589411014169,0.00028571428571428574,15579.762783845796,0.00014285714285714287,11769.589411014169
3492,1,9512.499999994,1,9512.499999994,8.16326530612245e-08,9513.856917065841,0.9999940391390134,,0.0002869033830212875,25830.082692170443,0.00028649218876922145,25830.11366587075,0.00028686173264486515,25830.082860457307,1,9512.499999994,0.00028571428571428574,25830.122223520695,0.00028571428571428574,16329.108937732772,0.00014285714285714287,12336.441659465756,0.00028571428571428574,16329.108937732772,0.00014285714285714287,12336.441659465756,0.00028571428571428574,16329.108937732772,0.00014285714285714287,12336.441659465756
3491,1,9901.3888888825,1,9901.3888888825,8.16326530612245e-08,9902.801081110276,0.9999940391390134,,0.0002870682388929752,26883.264389757256,0.00028666643245727695,26883.29639394585,0.0002870264064293915,26883.264569205032,1,9901.3888888825,0.00028571428571428574,26883.31565219554,0.00028571428571428574,16994.909512755825,0.00014285714285714287,12840.220438562035,0.00028571428571428574,16994.909512755825,0.00014285714285714287,12840.220438562035,0.00028571428571428574,16994.909512755825,0.00014285714285714287,12840.220438562035
3490,1,10251.388888882151,1,10251.388888882151,8.16326530612245e-08,10252.850800170714,0.9999940391390134,,0.0002872333002563041,27830.71989490844,0.0002868409432826838,27830.75278174907,0.0002871912693854107,27830.72008447769,1,10251.388888882151,0.00028571428571428574,27830.78442680763,0.00028571428571428574,17593.87380343398,0.00014285714285714287,13293.54046757932,0.00028571428571428574,17593.87380343398,0.00014285714285714287,13293.54046757932,0.00028571428571428574,17593.87380343398,0.00014285714285714287,13293.54046757932
