,dynamic-RLS-opt,T[dynamic-RLS-opt],dynamic-RLS-drift,T[dynamic-RLS-drift],dynamic-(1+1){>0}-p-opt,T[dynamic-(1+1){>0}-p-opt],dynamic-(1+1){>0}-p-drift,T[dynamic-(1+1){>0}-p-drift],dynamic-(1+1)-p-drift,T[dynamic-(1+1)-p-drift],dynamic-(1+1)-Baeck,T[dynamic-(1+1)-Baeck],static-RLS-1,T[static-RLS-1],static-(1+1)-1/n,T[static-(1+1)-1/n],old-1+1{>0},T[old-1+1{>0}]
4499,1,4500.0,1,4500.0,4.938271604938272e-08,4500.499923933646,0.9999940391390134,inf,0.00022160878294580997,12230.955759549706,0.00022222222222222223,12230.909061980085,1,4500.0,0.00022222222222222223,12230.909061980085,0.00022222222222222223,7731.909061980089
4498,1,6749.999999996319,1,6749.999999996319,4.938271604938272e-08,6750.74971920294,0.9999940391390134,,0.0002217109369136062,18343.7164800592,0.00022232103156958648,18343.644857904645,1,6749.999999996319,0.00022222222222222223,18343.645764143894,0.00022222222222222223,11596.145486390813
4497,1,8249.999999993865,1,8249.999999993865,4.938271604938272e-08,8250.916175291944,0.9999940391390134,,0.00022181319604017288,22417.530736430173,0.00022241992882562276,22417.44269578815,1,8249.999999993865,0.00022222222222222223,22417.445615621862,0.00022222222222222223,14171.444659062148
4496,1,9374.999999992024,1,9374.999999992024,4.938271604938272e-08,9376.040961790812,0.9999940391390134,,0.00022191556042683506,25471.871685836544,0.00022251891410769915,25471.77147893297,1,9374.999999992024,0.00022222222222222223,25471.77756961023,0.00022222222222222223,16102.275539552307
4495,1,10274.99999999055,1,10274.99999999055,4.938271604938272e-08,10276.140746535599,0.9999940391390134,,0.00022201803014733598,27914.528611123467,0.0002226179875333927,27914.41878874029,1,10274.99999999055,0.00022222222222222223,27914.42922720916,0.00022222222222222223,17646.42572421506
4494,1,11024.999999989324,1,11024.999999989324,4.938271604938272e-08,11026.223863444337,0.9999940391390134,,0.00022212060528712627,29949.396153677757,0.00022271714922048998,29949.278415870416,1,11024.999999989324,0.00022222222222222223,29949.29438870567,0.00022222222222222223,18932.789011060988
4493,1,11667.857142845416,1,11667.857142845416,4.938271604938272e-08,11669.152217613046,0.9999940391390134,,0.0002222232859496497,31692.985537116925,0.0002228163992869875,31692.86109780899,1,11667.857142845416,0.00022222222222222223,31692.883796895596,0.00022222222222222223,20035.018998810865
4492,1,12230.357142844496,1,12230.357142844496,4.938271604938272e-08,12231.71449972673,0.9999940391390134,,0.00022232607220789617,33218.11627617457,0.00022291573785109228,33217.98604545363,1,12230.357142844496,0.00022222222222222223,33218.016665829426,0.00022222222222222223,20999.149186540682
4491,1,12730.357142843677,1,12730.357142843677,4.938271604938272e-08,12731.76983690873,0.9999940391390134,,0.00022242896414890635,34573.3347139835,0.00022301516503122213,34573.19939937665,1,12730.357142843677,0.00022222222222222223,34573.23913803253,0.00022222222222222223,21855.868573523825
4490,1,13180.35714284294,1,13180.35714284294,4.938271604938272e-08,13181.819618145395,0.9999940391390134,,0.0002225319618692121,35792.62329071305,0.00022311468094600624,35792.48345795398,1,13180.35714284294,0.00022222222222222223,35792.533513115406,0.00022222222222222223,22626.659459152273
4489,1,13589.448051933183,1,13589.448051933183,4.938271604938272e-08,13590.955762699507,0.9999940391390134,,0.00022263506544708297,36900.69650828574,0.0002232142857142857,36900.552619981514,1,13589.448051933183,0.00022222222222222223,36900.61419065193,0.00022222222222222223,23327.145333802608
4488,1,13964.44805193257,1,13964.44805193257,4.938271604938272e-08,13965.997210018162,0.9999940391390134,,0.00022273827496690205,37916.090243124556,0.00022331397945511388,37915.94268453659,1,13964.44805193257,0.00022222222222222223,37916.016970191704,0.00022222222222222223,23969.04381517455
4487,1,14310.601898085852,1,14310.601898085852,4.938271604938272e-08,14312.189298137584,0.9999940391390134,,0.00022284159052415723,38853.0628616916,0.00022341376228775692,38852.91195858288,1,14310.601898085852,0.00022222222222222223,38853.00015895988,0.00022222222222222223,24561.368455268548
4486,1,14632.030469513898,1,14632.030469513898,4.938271604938272e-08,14633.65336408624,0.9999940391390134,,0.00022294501220921538,39722.81736619156,0.00022351363433169424,39722.66339757421,1,14632.030469513898,0.00022222222222222223,39722.766712521465,0.00022222222222222223,25111.201330585605
4485,1,14932.030469513407,1,14932.030469513407,4.938271604938272e-08,14933.6864774869,0.9999940391390134,,0.00022304854010171766,40534.31615837287,0.00022361359570661896,40534.15936585727,1,14932.030469513407,0.00022222222222222223,40534.278995224035,0.00022222222222222223,25624.208102260556
4484,1,15213.280469512949,1,15213.280469512949,4.938271604938272e-08,15214.967507408059,0.9999940391390134,,0.0002231521742968524,41294.84118964236,0.00022371364653243848,41294.681784447945,1,15213.280469512949,0.00022222222222222223,41294.818928002285,0.00022222222222222223,26104.992119903625
4483,1,15477.986351865457,1,15477.986351865457,4.938271604938272e-08,15479.7025813179,0.9999940391390134,,0.00022325591487888885,42010.38936114572,0.00022381378692927484,42010.22752946323,1,15477.986351865457,0.00022222222222222223,42010.383386828114,0.00022222222222222223,26557.3443772534
4482,1,15727.986351865047,1,15727.986351865047,4.938271604938272e-08,15729.730138773235,0.9999940391390134,,0.0002233597619386737,42685.95809049108,0.0002239140170174653,42685.79399765325,1,15727.986351865047,0.00022222222222222223,42685.96976825805,0.00022222222222222223,26984.424035703803
4481,1,15964.828457127816,1,15964.828457127816,4.938271604938272e-08,15966.59833940086,0.9999940391390134,,0.0002234637155564139,43325.75572933713,0.00022401433691756272,43325.589523110146,1,15964.828457127816,0.00022222222222222223,43325.7864061523,0.00022222222222222223,27388.891441639964
