,dynamic-RLS-opt,T[dynamic-RLS-opt],dynamic-RLS-drift,T[dynamic-RLS-drift],dynamic-(1+1){>0}-p-opt,T[dynamic-(1+1){>0}-p-opt],dynamic-(1+1){>0}-p-drift,T[dynamic-(1+1){>0}-p-drift],dynamic-(1+1)-p-opt,T[dynamic-(1+1)-p-opt],dynamic-(1+1)-p-drift,T[dynamic-(1+1)-p-drift],dynamic-(1+1)-Baeck,T[dynamic-(1+1)-Baeck],static-RLS-1,T[static-RLS-1],static-(1+1)-1/n,T[static-(1+1)-1/n],old-1+1{>0},T[old-1+1{>0}],static-(1+1)-opt,T[static-(1+1)-opt],dynamic-(1+1){>0}-p-drift-1/2n,T[dynamic-(1+1){>0}-p-drift-1/2n],dynamic-(1+1){>0}-p-drift-1/n,T[dynamic-(1+1){>0}-p-drift-1/n],dynamic-(1+1){>0}-p-opt-1/2n,T[dynamic-(1+1){>0}-p-opt-1/2n],dynamic-(1+1){>0}-p-opt-1/n,T[dynamic-(1+1){>0}-p-opt-1/n],old-1+1{>0}-1/2n,T[old-1+1{>0}-1/2n]
499,1,500.0,1,500.0,0.0,0.0,5.9608609865491405e-06,500.74435820955506,0.002,1357.781546565009,0.001999506608639268,1357.78158797103,0.002,1357.781546565009,1,500.0,0.002,1357.781546565009,0.002,858.7815465650091,0.002249585665715169,1367.6059396566611,0.001,648.4846438289443,0.002,858.7815465650091,0.0,0.0,0.0,0.0,0.001,648.4846438289443
498,1,749.9999999999509,1,749.9999999999509,4.01604812832077e-06,499.49933215831794,5.9608609865491405e-06,751.1142964418772,0.0020100583111037082,2033.9496006880895,0.0020080553461071706,2033.9499786582576,0.002008032128514056,2033.9499451453064,1,749.9999999999509,0.002,2033.95811181764,0.002,1286.4556138166424,0.002249585665715169,2048.2383357571925,0.001,972.1596428485909,0.002,1286.4556138166424,0.001,646.8371591851153,0.002,856.0659834718792,0.001,972.1596428485909
497,1,916.6666666665848,1,916.6666666665848,4.01604812832077e-06,749.2474927234485,5.9608609865491405e-06,918.0265921770298,0.0020181867021911576,2483.3671668974844,0.0020166897825524012,2483.3676679984474,0.0020161290322580645,2483.3677446454135,1,916.6666666665848,0.002,2483.3940378371517,0.002,1570.718778686834,0.002249585665715169,2500.4036520113923,0.001,1187.6736418962614,0.002,1570.718778686834,0.001,969.6900188034369,0.002,1282.3885519485643,0.001,1187.6736418962614
496,1,1041.6666666665603,1,1041.6666666665603,4.01604812832077e-06,915.7455971009167,5.9608609865491405e-06,1043.2100666717697,0.002026385334964809,2819.4087911450833,0.002025410229406896,2819.4093307906014,0.0020242914979757085,2819.40954770278,1,1041.6666666665603,0.002,2819.4643447072567,0.002,1783.2794653588771,0.002249585665715169,2838.341843347843,0.001,1349.1075576960304,0.002,1783.2794653588771,0.001,1184.656716538834,0.002,1565.753979379602,0.001,1349.1075576960304
495,1,1141.6666666665406,1,1141.6666666665406,4.01604812832077e-06,1040.6186733882514,5.9608609865491405e-06,1143.3562484293932,0.002034656597887039,3087.4244684046216,0.0020342170328799696,3087.4250141417697,0.0020325203252032522,3087.425371917471,1,1141.6666666665406,0.002,3087.519196647498,0.002,1952.8211422920106,0.002249585665715169,3107.7490832681315,0.001,1478.093777569821,0.002,1952.8211422920106,0.001,1345.6807487443684,0.002,1777.6437965071332,0.001,1478.093777569821
494,1,1224.9999999998577,1,1224.9999999998577,4.01604812832077e-06,1140.5167328247326,5.9608609865491405e-06,1226.8109017015477,0.0020430015164323756,3310.08919265751,0.002039777209308583,3310.0900153961798,0.0020408163265306124,3310.0902226209278,1,1224.9999999998577,0.002,3310.233654927455,0.002,2093.685530534667,0.002249585665715169,3331.4734257881983,0.001,1585.4484943392515,0.002,2093.685530534667,0.001,1474.3395345420133,0.002,1946.6507141262518,0.001,1585.4484943392515
493,1,1296.428571428415,1,1296.428571428415,4.01604812832077e-06,1223.7647810300004,5.9608609865491405e-06,1298.3430346320322,0.0020514211360832574,3500.36010026835,0.0020480564329455955,3500.3611767390285,0.0020491803278688526,3500.3612427007843,1,1296.428571428415,0.002,3500.5648796958094,0.002,2214.067888049904,0.002249585665715169,3522.5708739761094,0.001,1677.352388899813,0.002,2214.067888049904,0.001,1581.4217826562588,0.002,2087.0710745151687,0.001,1677.352388899813
492,1,1358.9285714284024,1,1358.9285714284024,4.01604812832077e-06,1295.1199640724203,5.9608609865491405e-06,1360.9332773107203,0.002059916522895738,3666.3353987521823,0.0020576296373374064,3666.3365753333524,0.00205761316872428,3666.3366437866966,1,1358.9285714284024,0.002,3666.611080665743,0.002,2319.0902413371127,0.002249585665715169,3689.2014056523185,0.001,1757.6683861861943,0.002,2319.0902413371127,0.001,1673.0924687866666,0.002,2207.074204963645,0.001,1757.6683861861943
491,1,1414.484126983947,1,1414.484126983947,4.01604812832077e-06,1357.5554982447218,5.9608609865491405e-06,1416.5687164641956,0.00206848876401629,3813.4138906702815,0.0020661039116723974,3813.4151637430523,0.002066115702479339,3813.4152312211695,1,1414.484126983947,0.002,3813.77105075171,0.002,2412.167266152044,0.002249585665715169,3836.80498480961,0.001,1828.9717689346412,0.002,2412.167266152044,0.001,1753.2047021225917,0.002,2311.7659253458373,0.001,1828.9717689346412
490,1,1464.4841269839371,1,1464.4841269839371,4.01604812832077e-06,1413.053527742056,5.9608609865491405e-06,1466.640312801065,0.0020771389722294225,3945.3747355773294,0.0020746552827017504,3945.3761015734585,0.002074688796680498,3945.376166544544,1,1464.4841269839371,0.002,3945.823932886866,0.002,2495.6892278662044,0.002249585665715169,3969.1895673210392,0.001,1893.065234564123,0.002,2495.6892278662044,0.001,1824.3272215719276,0.002,2404.5501070408222,0.001,1893.065234564123
489,1,1509.9386724384738,1,1509.9386724384738,4.01604812832077e-06,1463.0015535010302,5.9608609865491405e-06,1512.159674109407,0.0020858682676273875,4064.966411082932,0.0020832847703945384,4064.9678672483687,0.0020833333333333333,4064.9679288499938,1,1509.9386724384738,0.002,4065.518183740794,0.002,2571.3944943896186,0.002249585665715169,4089.1245585970064,0.001,1951.2598352933312,0.002,2571.3944943896186,0.001,1888.258143875484,0.002,2487.8094523922587,0.001,1951.2598352933312
488,1,1551.6053391051323,1,1551.6053391051323,4.01604812832077e-06,1508.4086671119037,5.9608609865491405e-06,1553.8855062302805,0.0020946778124564663,4174.250273470209,0.002092201405687559,4174.251804391355,0.0020920502092050207,4174.251875573515,1,1551.6053391051323,0.002,4174.915135887393,0.002,2640.5868353752735,0.002249585665715169,4198.686997216907,0.001,2004.5388598755806,0.002,2640.5868353752735,0.001,1946.3051898511737,0.002,2563.2768289585565,0.001,2004.5388598755806
487,1,1590.0668775666632,1,1590.0668775666632,4.01604812832077e-06,1550.0316872673711,5.9608609865491405e-06,1592.4014290414232,0.0021035687830122107,4274.811979614389,0.0021010305179328874,4274.813582167326,0.0021008403361344537,4274.813664518159,1,1590.0668775666632,0.002,4275.600420676696,0.002,2704.2691448060095,0.002249585665715169,4299.474591008656,0.001,2053.658683897215,0.002,2704.2691448060095,0.001,1999.4491497031215,0.002,2632.251881158322,0.001,2053.658683897215
