;RLS;;;;;;(1+1)EA;;;
;Expected time optimal;k^*;Expected Time « optimal »;« k^* »;Expected Time static;static K;Expected Time Optimal;p^*;Expected time static p;good static p*
Expected General Time;;All;;All;;All;16253.231497351875;All;;All
1000;0.0;0;0.0;0;0.0;0;0.0;0;;0.00104
999;1000.0;1;1000.0;1;1000.0;1;2716.9225742264093;1;;0.00104
998;1499.9999999999998;1;1499.9999999999998;1;1499.9999999999998;1;4072.6633658858905;0.0010025072694096423;;0.00104
997;1833.3333333333333;1;1833.3333333333333;1;1833.3333333333333;1;4975.130429755205;0.0010045232098571154;;0.00104
996;2083.3333333333335;1;2083.3333333333335;1;2083.3333333333335;1;5650.960285389347;0.0010065477887578908;;0.00104
995;2283.3333333333335;1;2283.3333333333335;1;2283.3333333333335;1;6190.807630098477;0.0010085812369919644;;0.00104
994;2450.0000000000005;1;2450.0000000000005;1;2450.0000000000005;1;6639.999811694346;0.0010106236163000735;;0.00104
993;2592.8571428571436;1;2592.8571428571436;1;2592.8571428571436;1;7024.438171055106;0.0010126749890152023;;0.00104
992;2717.8571428571436;1;2717.8571428571436;1;2717.8571428571436;1;7360.311045587247;0.0010147354180718663;;0.00104
991;2828.9682539682544;1;2828.9682539682544;1;2828.9682539682544;1;7658.41065965317;0.0010168049670134479;;0.00104
990;2928.9682539682544;1;2928.9682539682544;1;2928.9682539682544;1;7926.291569784877;0.001018883699999757;;0.00104
989;3019.8773448773454;1;3019.8773448773454;1;3019.8773448773454;1;8169.447998436768;0.001020971681814678;;0.00104
988;3103.2106782106794;1;3103.2106782106794;1;3103.2106782106794;1;8392.000612008274;0.0010230689778739153;;0.00104
987;3180.133755133756;1;3180.133755133756;1;3180.133755133756;1;8597.119153472959;0.0010251756542328614;;0.00104
986;3251.562326562327;1;3251.562326562327;1;3251.562326562327;1;8787.294134782998;0.0010272917775945832;;0.00104
985;3318.2289932289937;1;3318.2289932289937;1;3318.2289932289937;1;8964.517965138844;0.0010294174153179527;;0.00104
984;3380.7289932289937;1;3380.7289932289937;1;3380.7289932289937;1;9130.409476674473;0.0010315526354258689;;0.00104
983;3439.552522640758;1;3439.552522640758;1;3439.552522640758;1;9286.301824941158;0.0010336975066135665;;0.00104
982;3495.1080781963137;1;3495.1080781963137;1;3495.1080781963137;1;9433.305972590168;0.0010358520982571683;;0.00104
981;3547.739657143682;1;3547.739657143682;1;3547.739657143682;1;9572.357466823087;0.0010380164804222485;;0.00104
980;3597.739657143682;1;3597.739657143682;1;3597.739657143682;1;9704.251522479604;0.001040190723872556;;0.00104
979;3645.3587047627293;1;3645.3587047627293;1;3645.3587047627293;1;9829.669752009142;0.001042374900078991;;0.00104
978;3690.8132502172753;1;3690.8132502172753;1;3690.8132502172753;1;9949.200820448837;0.001044569081228429;;0.00104
977;3734.2915110868403;1;3734.2915110868403;1;3734.2915110868403;1;10063.356610188981;0.0010467733402330474;;0.00104
976;3775.958177753507;1;3775.958177753507;1;3775.958177753507;1;10172.585018078915;0.0010489877507395592;;0.00104
975;3815.958177753507;1;3815.958177753507;1;3815.958177753507;1;10277.280193111781;0.0010512123871385547;;0.00104
974;3854.4197162150454;1;3854.4197162150454;1;3854.4197162150454;1;10377.790805323679;0.001053447324574267;;0.00104
973;3891.4567532520823;1;3891.4567532520823;1;3891.4567532520823;1;10474.426783415214;0.0010556926389541363;;0.00104
972;3927.1710389663676;1;3927.1710389663676;1;3927.1710389663676;1;10567.464849226313;0.001057948406958708;;0.00104
971;3961.6537975870574;1;3961.6537975870574;1;3961.6537975870574;1;10657.153097991213;0.0010602147060518265;;0.00104
970;3994.9871309203904;1;3994.9871309203904;1;3994.9871309203904;1;10743.714815217652;0.0010624916144906338;;0.00104
969;4027.245195436519;1;4027.245195436519;1;4027.245195436519;1;10827.351677940278;0.0010647792113360713;;0.00104
968;4058.495195436519;1;4058.495195436519;1;4058.495195436519;1;10908.246455778304;0.001067077576463281;;0.00104
967;4088.7982257395497;1;4088.7982257395497;1;4088.7982257395497;1;10986.565302741907;0.0010693867905724327;;0.00104
966;4118.209990445432;1;4118.209990445432;1;4118.209990445432;1;11062.459712008294;0.0010717069351994903;;0.00104
965;4146.781419016861;1;4146.781419016861;1;4146.781419016861;1;11136.06819144403;0.001074038092727289;;0.00104
964;4174.559196794638;1;4174.559196794638;1;4174.559196794638;1;11207.517706415896;0.001076380346396679;;0.00104
963;4201.586223821665;1;4201.586223821665;1;4201.586223821665;1;11276.924927627331;0.0010787337803179796;;0.00104
962;4227.90201329535;1;4227.90201329535;1;4227.90201329535;1;11344.397314765796;0.0010810984794825905;;0.00104
961;4253.543038936376;1;4253.543038936376;1;4253.543038936376;1;11410.034061221051;0.0010834745297746472;;0.00104
960;4278.543038936376;1;4278.543038936376;1;4278.543038936376;1;11473.92692071355;0.0010858620179830837;;0.00104
959;4302.933282838815;1;4302.933282838815;1;4302.933282838815;1;11536.160933114546;0.0010882610419309516;;0.00104
958;4326.742806648339;1;4326.742806648339;1;4326.742806648339;1;11596.815063859003;0.0010906716652781636;;0.00104
957;4349.9986206018275;1;4349.9986206018275;1;4349.9986206018275;1;11655.962769008147;0.0010930939941415888;;0.00104
956;4372.7258933291005;1;4372.7258933291005;1;4372.7258933291005;1;11713.672496100375;0.0010955281187865226;;0.00104
955;4394.948115551323;1;4394.948115551323;1;4394.948115551323;1;11770.008129352018;0.0010979741303327238;;0.00104
954;4416.687245986105;1;4416.687245986105;1;4416.687245986105;1;11825.029386466735;0.0011004321207559377;;0.00104
953;4437.963841730786;1;4437.963841730786;1;4437.963841730786;1;11878.792173231112;0.0011029021828892324;;0.00104
952;4458.797175064119;1;4458.797175064119;1;4458.797175064119;1;11931.348901173198;0.0011053844104237762;;0.00104
951;4479.205338329425;1;4479.205338329425;1;4479.205338329425;1;11982.748772806928;0.0011078788979100454;;0.00104
950;4499.205338329424;1;4499.205338329424;1;4499.205338329424;1;12033.038038352044;0.0011103857407581419;;0.00104
949;4518.813181466679;1;4518.813181466679;1;4518.813181466679;1;12082.26022728541;0.0011129050555150407;;0.00104
948;4538.043950697449;1;4538.043950697449;1;4538.043950697449;1;12130.456357627774;0.0011154369147699785;;0.00104
947;4556.911875225751;1;4556.911875225751;1;4556.911875225751;1;12177.665125486457;0.0011179814283348072;;0.00104
946;4575.430393744269;1;4575.430393744269;1;4575.430393744269;1;12223.923077047806;0.0011205386970345422;;0.00104
945;4593.612211926087;1;4593.612211926087;1;4593.612211926087;1;12269.26476493393;0.0011231088228034595;;0.00104
944;4611.46935478323;1;4611.46935478323;1;4611.46935478323;1;12313.72289059905;0.0011256919087006467;;0.00104
943;4629.0132144323525;1;4629.0132144323525;1;4629.0132144323525;1;12357.32843423485;0.0011282880589256635;;0.00104
942;4646.254593742698;1;4646.254593742698;1;4646.254593742698;1;12400.110773477165;0.0011308973788341874;;0.00104
941;4663.20374628507;1;4663.20374628507;1;4663.20374628507;1;12442.097792052715;0.0011335199749548655;;0.00104
940;4679.870412951736;1;4679.870412951736;1;4679.870412951736;1;12483.315979371933;0.0011361559550051937;;0.00104
939;4696.263855574688;1;4696.263855574688;1;4696.263855574688;1;12523.790521958474;0.001138805427908793;;0.00104
938;4712.392887832752;1;4712.392887832752;1;4712.392887832752;1;12563.5453875053;0.0011414685038121904;;0.00104
937;4728.265903705768;1;4728.265903705768;1;4728.265903705768;1;12602.603402259723;0.0011441452941020204;;0.00104
936;4743.890903705768;1;4743.890903705768;1;4743.890903705768;1;12640.986322362623;0.0011468359114227445;;0.00104
935;4759.275519090384;1;4759.275519090384;1;4759.275519090384;1;12678.714899700131;0.0011495404696946245;;0.00104
934;4774.427034241899;1;4774.427034241899;1;4774.427034241899;1;12715.808942766458;0.001152259084131479;;0.00104
933;4789.352407376226;1;4789.352407376226;1;4789.352407376226;1;12752.287372984734;0.0011549918712597182;;0.00104
932;4804.058289729168;1;4804.058289729168;1;4804.058289729168;1;12788.168276886621;0.0011577389489362678;;0.00104
931;4818.551043352357;1;4818.551043352357;1;4818.551043352357;1;12823.46895451073;0.0011605004363682574;;0.00104
930;4832.8367576380715;1;4832.8367576380715;1;4832.8367576380715;1;12858.205964344055;0.0011632764541319447;;0.00104
929;4846.921264680325;1;4846.921264680325;1;4846.921264680325;1;12892.395165098469;0.0011660671241923595;;0.00104
928;4860.810153569214;1;4860.810153569214;1;4860.810153569214;1;12926.05175458607;0.0011688725699233815;;0.00104
927;4874.5087837062;1;4874.5087837062;1;4874.5087837062;1;12959.190305931836;0.0011716929161275937;;0.00104
926;4888.022297219713;1;4888.022297219713;1;4888.022297219713;1;12991.824801339435;0.0011745282890570788;;0.00104
925;4901.355630553047;1;4901.355630553047;1;4901.355630553047;1;13023.968663606005;0.001177378816433945;;0.00104
924;4914.513525289889;1;4914.513525289889;1;4914.513525289889;1;13055.634785563547;0.0011802446274720272;;0.00104
923;4927.500538276902;1;4927.500538276902;1;4927.500538276902;1;13086.835557608563;0.0011831258528971669;;0.00104
922;4940.321051097415;1;4940.321051097415;1;4940.321051097415;1;13117.58289346694;0.0011860226395911;;0.00104
921;4952.979278945516;1;4952.979278945516;1;4952.979278945516;1;13147.888254328127;0.001188935095439088;;0.00104
920;4965.479278945516;1;4965.479278945516;1;4965.479278945516;1;13177.762671470955;0.0011918633677860779;;0.00104
919;4977.824957957861;1;4977.824957957861;1;4977.824957957861;1;13207.216767492722;0.0011948075937330727;;0.00104
918;4990.020079909081;1;4990.020079909081;1;4990.020079909081;1;13236.26077624386;0.0011977679120195297;;0.00104
917;5002.068272680165;1;5002.068272680165;1;5002.068272680165;1;13264.904561561714;0.0012007444630479413;;0.00104
916;5013.9730345849275;1;5013.9730345849275;1;5013.9730345849275;1;13293.157634889165;0.001203737388909634;;0.00104
915;5025.737740467281;1;5025.737740467281;1;5025.737740467281;1;13321.029171856859;0.0012067468334100633;;0.00104
914;5037.365647444025;1;5037.365647444025;1;5037.365647444025;1;13348.528027901393;0.00120977294209543;;0.00104
913;5048.859900317588;1;5048.859900317588;1;5048.859900317588;1;13375.662752985809;0.0012128158622789075;;0.00104
912;5060.223536681224;1;5060.223536681224;1;5060.223536681224;1;13402.441605483726;0.0012158757430682965;;0.00104
911;5071.459491737404;1;5071.459491737404;1;5071.459491737404;1;13428.87256528352;0.00121895273539352;;0.00104
910;5082.570602848516;1;5082.570602848516;1;5082.570602848516;1;13454.963346164328;0.0012220469920349378;;0.00104
909;5093.559613837526;1;5093.559613837526;1;5093.559613837526;1;13480.721407492163;0.001225158667651871;;0.00104
908;5104.429179054917;1;5104.429179054917;1;5104.429179054917;1;13506.153965280346;0.0012282879188121817;;0.00104
907;5115.181867226959;1;5115.181867226959;1;5115.181867226959;1;13531.268002655228;0.0012314349040219508;;0.00104
906;5125.8201650993;1;5125.8201650993;1;5125.8201650993;1;13556.070279765238;0.0012345997837559183;;0.00104
905;5136.346480888774;1;5136.346480888774;1;5136.346480888774;1;13580.567343168412;0.0012377827204881403;;0.00104
904;5146.76314755544;1;5146.76314755544;1;5146.76314755544;1;13604.76553473094;0.0012409838787242648;;0.00104
903;5157.072425905954;1;5157.072425905954;1;5157.072425905954;1;13628.671000067026;0.0012442034250328407;;0.00104
902;5167.276507538609;1;5167.276507538609;1;5167.276507538609;1;13652.289696548158;0.0012474415280784165;;0.00104
901;5177.377517639618;1;5177.377517639618;1;5177.377517639618;1;13675.6274009078;0.001250698358655473;;0.00104
900;5187.377517639619;1;5187.377517639619;1;5187.377517639619;1;13698.689716465906;0.0012539740897211467;;0.00104
899;5197.278507738629;1;5197.278507738629;1;5197.278507738629;1;13721.482079995694;0.0012572688964312398;;0.00104
898;5207.0824293072565;1;5207.0824293072565;1;5207.0824293072565;1;13744.009768253869;0.0012605829561748373;;0.00104
897;5216.791167171334;1;5216.791167171334;1;5216.791167171334;1;13766.277904193794;0.001263916448610072;;0.00104
896;5226.406551786718;1;5226.406551786718;1;5226.406551786718;1;13788.291462879972;0.0012672695557017115;;0.00104
895;5235.9303613105285;1;5235.9303613105285;1;5235.9303613105285;1;13810.055277120813;0.0012706424617578839;;0.00104
894;5245.364323574679;1;5245.364323574679;1;5245.364323574679;1;13831.574042835771;0.0012740353534679576;;0.00104
893;5254.710117967203;1;5254.710117967203;1;5254.710117967203;1;13852.85232417159;0.0012774484199427087;;0.00104
892;5263.969377226463;1;5263.969377226463;1;5263.969377226463;1;13873.894558381739;0.0012808818527523436;;0.00104
891;5273.143689153068;1;5273.143689153068;1;5273.143689153068;1;13894.70506048195;0.0012843358459680098;;0.00104
890;5282.234598243977;1;5282.234598243977;1;5282.234598243977;1;13915.288027694183;0.001287810596202836;;0.00104
889;5291.243607252987;1;5291.243607252987;1;5291.243607252987;1;13935.647543690338;0.0012913063026532587;;0.00104
888;5300.172178681559;1;5300.172178681559;1;5300.172178681559;1;13955.787582646582;0.0012948231671425887;;0.00104
887;5309.021736203682;1;5309.021736203682;1;5309.021736203682;1;13975.712013118182;0.0012983613941649759;;0.00104
886;5317.793666028244;1;5317.793666028244;1;5317.793666028244;1;13995.424601744407;0.0013019211909289009;;0.00104
885;5326.489318202157;1;5326.489318202157;1;5326.489318202157;1;14014.929016792397;0.0013055027674030723;;0.00104
884;5335.11000785733;1;5335.11000785733;1;5335.11000785733;1;14034.22883154814;0.0013091063363637801;;0.00104
883;5343.65701640434;1;5343.65701640434;1;5343.65701640434;1;14053.32752756266;0.0013127321134398626;;0.00104
882;5352.131592675526;1;5352.131592675526;1;5352.131592675526;1;14072.228497760505;0.0013163803171639822;;0.00104
881;5360.534954020064;1;5360.534954020064;1;5360.534954020064;1;14090.935049417749;0.0013200511690184317;;0.00104
880;5368.868287353398;1;5368.868287353398;1;5368.868287353398;1;14109.45040701576;0.00132374489348846;;0.00104
879;5377.132750163315;1;5377.132750163315;1;5377.132750163315;1;14127.777714977152;0.0013274617181111075;;0.00104
878;5385.32947147479;1;5385.32947147479;1;5385.32947147479;1;14145.920040289524;0.0013312018735279084;;0.00104
877;5393.459552775604;1;5393.459552775604;1;5393.459552775604;1;14163.88037502252;0.0013349655935396864;;0.00104
876;5401.524068904635;1;5401.524068904635;1;5401.524068904635;1;14181.661638743424;0.0013387531151588415;;0.00104
875;5409.524068904635;1;5409.524068904635;1;5409.524068904635;1;14199.26668083611;0.001342564678665496;;0.00104
874;5417.460576841143;1;5417.460576841143;1;5417.460576841143;1;14216.698282727903;0.001346400527664817;;0.00104
873;5425.3345925891745;1;5425.3345925891745;1;5425.3345925891745;1;14233.959160028833;0.0013502609091434524;;0.00104
872;5433.147092589174;1;5433.147092589174;1;5433.147092589174;1;14251.051964587265;0.0013541460735292928;;0.00104
871;5440.89903057367;1;5440.89903057367;1;5440.89903057367;1;14267.979286465817;0.001358056274751205;;0.00104
870;5448.591338265977;1;5448.591338265977;1;5448.591338265977;1;14284.743655841305;0.0013619917836398894;;0.00104
869;5456.224926052237;1;5456.224926052237;1;5456.224926052237;1;14301.347544832153;0.0013659528367805207;;0.00104
868;5463.800683627994;1;5463.800683627994;1;5463.800683627994;1;14317.793369256558;0.00136993971048877;;0.00104
867;5471.319480620476;1;5471.319480620476;1;5471.319480620476;1;14334.083490324527;0.00137395267336781;;0.00104
866;5478.78216718764;1;5478.78216718764;1;5478.78216718764;1;14350.220216266796;0.00137799199784567;;0.00104
865;5486.189574595047;1;5486.189574595047;1;5486.189574595047;1;14366.205803903367;0.001382057960245123;;0.00104
864;5493.542515771517;1;5493.542515771517;1;5493.542515771517;1;14382.04246015441;0.0013861508408528431;;0.00104
863;5500.84178584451;1;5500.84178584451;1;5500.84178584451;1;14397.732343495947;0.0013902709239912772;;0.00104
862;5508.088162656104;1;5508.088162656104;1;5508.088162656104;1;14413.27756536283;0.001394418498091948;;0.00104
861;5515.282407260421;1;5515.282407260421;1;5515.282407260421;1;14428.680191501213;0.001398593855768846;;0.00104
860;5522.425264403278;1;5522.425264403278;1;5522.425264403278;1;14443.942243272708;0.0014027972938954545;;0.00104
859;5529.517462984838;1;5529.517462984838;1;5529.517462984838;1;14459.065698912265;0.0014070291136817881;;0.00104
858;5536.559716505964;1;5536.559716505964;1;5536.559716505964;1;14474.052494741754;0.0014112896207556967;;0.00104
857;5543.552723498972;1;5543.552723498972;1;5543.552723498972;1;14488.904526341132;0.0014155791252413905;;0.00104
856;5550.497167943417;1;5550.497167943417;1;5550.497167943417;1;14503.623649678864;0.0014198979418437803;;0.00104
855;5557.393719667554;1;5557.393719667554;1;5557.393719667554;1;14518.211682203373;0.0014242463899342616;;0.00104
854;5564.243034736048;1;5564.243034736048;1;5564.243034736048;1;14532.670403897137;0.001428624793634502;;0.00104
853;5571.045755824483;1;5571.045755824483;1;5571.045755824483;1;14547.001558294845;0.0014330334819085606;;0.00104
852;5577.802512581239;1;5577.802512581239;1;5577.802512581239;1;14561.206853467189;0.0014374727886502148;;0.00104
851;5584.513921977213;1;5584.513921977213;1;5584.513921977213;1;14575.28796297157;0.0014419430527777381;;0.00104
850;5591.180588643879;1;5591.180588643879;1;5591.180588643879;1;14589.246526771198;0.0014464446183270994;;0.00104
849;5597.80310520017;1;5597.80310520017;1;5597.80310520017;1;14603.084152123613;0.0014509778345488309;;0.00104
848;5604.382052568591;1;5604.382052568591;1;5604.382052568591;1;14616.802414440066;0.0014555430560074193;;0.00104
847;5610.918000281009;1;5610.918000281009;1;5610.918000281009;1;14630.402858116733;0.001460140642682287;;0.00104
846;5617.411506774516;1;5617.411506774516;1;5617.411506774516;1;14643.886997338957;0.0014647709600708542;;0.00104
