,dynamic-(1+1){>0}-p-opt,E[dynamic-(1+1){>0}-p-opt],dynamic-(1+1){>0}-p-drift,T[dynamic-(1+1){>0}-p-drift]
Expected Time General,All,17.68464519714804,All,17.82198988448784
9,0,0.0,0,0.0
8,0.012345679012345678,9.463374195694449,0.012345679012345678,9.46337404878872
7,0.012345679012345678,14.104370930139153,0.012345679012345678,14.104370783343157
6,0.012345679012345678,17.15884787889248,0.012345679012345678,17.158847732097474
5,0.3309217569990984,19.255727431635563,0.012345679012345678,19.42074059225632
4,0.6288251775177852,19.29186347942262,0.8239260456392548,19.68494966636657
3,1,18.15884787889248,1,18.158847732097474
2,1,15.104370930139153,1,15.104370783343157
1,1,10.463374195694449,1,10.46337404878872
