	Expected time	p^*
Expected Time General	16253.23149736882	All
1	2717.9225742264093	1
2	4073.6633658858905	1
3	4976.130429755205	1
4	5651.960285389347	1
5	6191.807630098476	1
6	6640.999811694344	1
7	7025.438171055103	1
8	7361.311045587244	1
9	7659.410659653169	1
10	7927.291569784876	1
11	8170.447998436768	1
12	8393.000612008276	1
13	8598.11915347296	1
14	8788.294134782998	1
15	8965.517965138844	1
16	9131.409476674473	1
17	9287.301824941158	1
18	9434.305972590168	1
19	9573.357466823085	1
20	9705.251522479604	1
21	9830.669752009142	1
22	9950.200820448837	1
23	10064.356610188981	1
24	10173.585018078915	1
25	10278.28019311178	1
26	10378.790805323677	1
27	10475.42678341521	1
28	10568.464849226311	1
29	10658.153097991213	1
30	10744.71481521765	1
31	10828.351677940276	1
32	10909.246455778302	1
33	10987.565302741907	1
34	11063.459712008296	1
35	11137.068191444036	1
36	11208.517706415903	1
37	11277.92492762734	1
38	11345.397314765809	1
39	11411.03406122107	1
40	11474.926920713568	1
41	11537.160933114563	1
42	11597.815063859016	1
43	11656.96276900816	1
44	11714.672496100384	1
45	11771.008129352029	1
46	11826.029386466746	1
47	11879.79217323112	1
48	11932.348901173209	1
49	11983.748772806939	1
50	12034.038038352057	1
51	12083.260227285422	1
52	12131.456357627787	1
53	12178.66512548647	1
54	12224.923077047815	1
55	12270.264764933936	1
56	12314.722890599056	1
57	12358.328434234854	1
58	12401.11077347717	1
59	12443.097792052722	1
60	12484.315979371937	1
61	12524.790521958475	1
62	12564.5453875053	1
63	12603.60340225972	1
64	12641.986322362625	1
65	12679.714899700131	1
66	12716.808942766458	1
67	12753.287372984734	1
68	12789.16827688662	1
69	12824.468954510727	1
70	12859.205964344057	1
71	12893.39516509847	1
72	12927.051754586073	1
73	12960.19030593184	1
74	12992.824801339439	1
75	13024.968663606009	1
76	13056.634785563552	1
77	13087.835557608567	1
78	13118.582893466948	1
79	13148.888254328138	1
80	13178.762671470966	1
81	13208.216767492731	1
82	13237.260776243866	1
83	13265.90456156172	1
84	13294.157634889176	1
85	13322.02917185687	1
86	13349.528027901404	1
87	13376.662752985818	1
88	13403.44160548374	1
89	13429.872565283535	1
90	13455.963346164339	1
91	13481.721407492174	1
92	13507.153965280353	1
93	13532.268002655233	1
