,optimal,"""optimal"""
1,"(501.0, 500)","(749.4999999999508, 499)"
2,"(750.9999999999509, 500)","(915.9999999999183, 499)"
3,"(917.6666666665848, 500)","(1040.9166666665606, 499)"
4,"(1042.6666666665603, 500)","(1140.8666666665408, 499)"
5,"(1142.6666666665406, 500)","(1224.1666666665244, 499)"
6,"(1225.9999999998577, 500)","(1295.571428571272, 499)"
7,"(1297.428571428415, 500)","(1358.0535714284026, 499)"
8,"(1359.9285714284024, 500)","(1413.5952380950582, 499)"
9,"(1415.484126983947, 500)","(1463.584126983937, 499)"
10,"(1465.4841269839371, 500)","(1509.029581529383, 499)"
11,"(1510.9386724384735, 500)","(1550.6886724384663, 499)"
12,"(1552.6053391051323, 500)","(1589.1438006435865, 499)"
13,"(1591.0668775666632, 500)","(1624.8525918523706, 499)"
14,"(1626.7811632809419, 500)","(1658.1811632809354, 499)"
15,"(1660.1144966142685, 500)","(1689.4269966142626, 499)"
16,"(1691.3644966142624, 500)","(1718.8350848495506, 499)"
17,"(1720.776261320139, 500)","(1746.609594653467, 499)"
18,"(1748.5540390979113, 500)","(1772.9224601505382, 499)"
19,"(1774.8698285715907, 500)","(1797.9198285715863, 499)"
20,"(1799.869828571586, 500)","(1821.7269714287245, 499)"
21,"(1823.6793523811052, 500)","(1844.452079653828, 499)"
22,"(1846.4066251083734, 500)","(1866.1892338040218, 499)"
23,"(1868.1457555431516, 500)","(1887.0207555431475, 499)"
24,"(1888.9790888764808, 500)","(1907.019088876477, 499)"
25,"(1908.979088876477, 500)","(1926.2483196457044, 499)"
26,"(1928.2098581072426, 500)","(1944.7654136627943, 499)"
27,"(1946.7283766257574, 500)","(1962.6212337686115, 499)"
28,"(1964.5855194828966, 500)","(1979.8613815518586, 499)"
29,"(1981.826898793238, 500)","(1996.5268987932347, 499)"
30,"(1998.4935654599012, 500)","(2012.6548557824792, 499)"
31,"(2014.6225977179627, 500)","(2028.2788477179597, 499)"
32,"(2030.2475977179595, 500)","(2043.4294158997754, 499)"
33,"(2045.399112869472, 500)","(2058.134406987116, 499)"
34,"(2060.1049952224103, 500)","(2072.4192809366937, 499)"
35,"(2074.3907095081217, 500)","(2086.3073761747864, 499)"
36,"(2088.279598397008, 500)","(2099.8201389375463, 499)"
37,"(2101.793111910519, 500)","(2112.9773224368328, 499)"
38,"(2114.951006647359, 500)","(2125.7971604935105, 499)"
39,"(2127.7715194678694, 500)","(2138.2965194678673, 499)"
40,"(2140.271519467867, 500)","(2150.491031662987, 499)"
41,"(2152.466641419084, 500)","(2162.3952128476535, 499)"
42,"(2164.371403323844, 500)","(2174.022566114539, 499)"
43,"(2175.9993103005854, 500)","(2185.3856739369467, 499)"
