,Expected time,k^*
Expected Time General,16253.231497351875,All
1000,0.0,0
999,2716.9225742264093,0.001
998,4072.6633658858905,0.0010025072694096423
997,4975.130429755205,0.0010045232098571154
996,5650.960285389347,0.0010065477887578908
995,6190.807630098477,0.0010085812369919644
994,6639.999811694346,0.0010106236163000735
993,7024.438171055106,0.0010126749890152023
992,7360.311045587247,0.0010147354180718663
991,7658.41065965317,0.0010168049670134479
990,7926.291569784877,0.001018883699999757
989,8169.447998436768,0.001020971681814678
988,8392.000612008274,0.0010230689778739153
987,8597.119153472959,0.0010251756542328614
986,8787.294134782998,0.0010272917775945832
985,8964.517965138844,0.0010294174153179527
984,9130.409476674473,0.0010315526354258689
983,9286.301824941158,0.0010336975066135665
982,9433.305972590168,0.0010358520982571683
981,9572.357466823087,0.0010380164804222485
980,9704.251522479604,0.001040190723872556
979,9829.669752009142,0.001042374900078991
978,9949.200820448837,0.001044569081228429
977,10063.356610188981,0.0010467733402330474
976,10172.585018078915,0.0010489877507395592
975,10277.280193111781,0.0010512123871385547
974,10377.790805323679,0.001053447324574267
973,10474.426783415214,0.0010556926389541363
972,10567.464849226313,0.001057948406958708
971,10657.153097991213,0.0010602147060518265
970,10743.714815217652,0.0010624916144906338
969,10827.351677940278,0.0010647792113360713
968,10908.246455778304,0.001067077576463281
967,10986.565302741907,0.0010693867905724327
966,11062.459712008294,0.0010717069351994903
965,11136.06819144403,0.001074038092727289
964,11207.517706415896,0.001076380346396679
963,11276.924927627331,0.0010787337803179796
962,11344.397314765796,0.0010810984794825905
961,11410.034061221051,0.0010834745297746472
960,11473.92692071355,0.0010858620179830837
959,11536.160933114546,0.0010882610419309516
958,11596.815063859003,0.0010906716652781636
957,11655.962769008147,0.0010930939941415888
956,11713.672496100375,0.0010955281187865226
955,11770.008129352018,0.0010979741303327238
954,11825.029386466735,0.0011004321207559377
953,11878.792173231112,0.0011029021828892324
952,11931.348901173198,0.0011053844104237762
951,11982.748772806928,0.0011078788979100454
950,12033.038038352044,0.0011103857407581419
949,12082.26022728541,0.0011129050555150407
948,12130.456357627774,0.0011154369147699785
947,12177.665125486457,0.0011179814283348072
946,12223.923077047806,0.0011205386970345422
945,12269.26476493393,0.0011231088228034595
944,12313.72289059905,0.0011256919087006467
943,12357.32843423485,0.0011282880589256635
942,12400.110773477165,0.0011308973788341874
941,12442.097792052715,0.0011335199749548655
940,12483.315979371933,0.0011361559550051937
939,12523.790521958474,0.001138805427908793
938,12563.5453875053,0.0011414685038121904
937,12602.603402259723,0.0011441452941020204
936,12640.986322362623,0.0011468359114227445
935,12678.714899700131,0.0011495404696946245
934,12715.808942766458,0.001152259084131479
933,12752.287372984734,0.0011549918712597182
932,12788.168276886621,0.0011577389489362678
931,12823.46895451073,0.0011605004363682574
930,12858.205964344055,0.0011632764541319447
929,12892.395165098469,0.0011660671241923595
928,12926.05175458607,0.0011688725699233815
927,12959.190305931836,0.0011716929161275937
926,12991.824801339435,0.0011745282890570788
925,13023.968663606005,0.001177378816433945
924,13055.634785563547,0.0011802446274720272
923,13086.835557608563,0.0011831258528971669
922,13117.58289346694,0.0011860226395911
921,13147.888254328127,0.001188935095439088
920,13177.762671470955,0.0011918633677860779
919,13207.216767492722,0.0011948075937330727
918,13236.26077624386,0.0011977679120195297
917,13264.904561561714,0.0012007444630479413
916,13293.157634889165,0.001203737388909634
915,13321.029171856859,0.0012067468334100633
914,13348.528027901393,0.00120977294209543
913,13375.662752985809,0.0012128158622789075
912,13402.441605483726,0.0012158757430682965
911,13428.87256528352,0.00121895273539352
910,13454.963346164328,0.0012220469920349378
909,13480.721407492163,0.001225158667651871
908,13506.153965280346,0.0012282879188121817
907,13531.268002655228,0.0012314349040219508
906,13556.070279765238,0.0012345997837559183
905,13580.567343168412,0.0012377827204881403
904,13604.76553473094,0.0012409838787242648
903,13628.671000067026,0.0012442034250328407
902,13652.289696548158,0.0012474415280784165
901,13675.6274009078,0.001250698358655473
900,13698.689716465906,0.0012539740897211467
899,13721.482079995694,0.0012572688964312398
898,13744.009768253869,0.0012605829561748373
