,Expected time,k^*
100,0.0,0
99,100.0,1
98,150.0,1
97,183.33333333333331,1
96,208.33333333333331,1
95,228.3333333333333,1
94,244.99999999999997,1
93,259.2857142857142,1
92,271.78571428571416,1
91,282.8968253968253,1
90,292.8968253968253,1
89,301.98773448773443,1
88,310.32106782106774,1
87,318.0133755133754,1
86,325.15623265623253,1
85,331.82289932289916,1
84,338.0728993228991,1
83,343.95525226407557,1
82,349.51080781963117,1
81,354.773965714368,1
80,359.773965714368,1
79,364.5358704762728,1
78,369.08132502172737,1
77,373.42915110868387,1
76,377.59581777535055,1
75,381.59581777535055,1
74,385.4419716215044,1
73,389.1456753252081,1
72,392.71710389663673,1
71,396.1653797587057,1
70,399.498713092039,1
69,402.7245195436519,1
68,405.84951954365187,1
67,408.8798225739549,1
66,411.78302337996894,3
65,414.5000781652697,3
64,417.06163263383286,3
63,419.48853912710575,3
62,421.7296515272794,5
61,423.7970831328021,5
60,425.6843986205619,7
59,427.3905364713896,9
58,428.90571826583613,11
57,430.2193525459681,13
56,431.3355809406585,15
55,432.25357408136483,19
54,432.974213164191,23
53,433.50243924262884,29
52,433.8516897423266,35
51,434.04224112080067,43
50,434.10026747980305,50
49,434.05126284580643,58
48,433.9339662911196,64
47,433.7605224640957,72
46,433.5248858254717,78
45,433.1573379087388,88
44,432.3355809406585,100
43,431.2193525459681,100
42,429.90571826583613,100
41,428.3905364713896,100
40,426.6843986205619,100
39,424.7970831328021,100
38,422.7296515272794,100
37,420.48853912710575,100
36,418.06163263383286,100
35,415.5000781652697,100
34,412.78302337996894,100
33,409.8798225739549,100
32,406.84951954365187,100
31,403.7245195436519,100
30,400.498713092039,100
29,397.1653797587057,100
28,393.71710389663673,100
27,390.1456753252081,100
26,386.4419716215044,100
25,382.59581777535055,100
24,378.59581777535055,100
23,374.42915110868387,100
22,370.08132502172737,100
21,365.5358704762728,100
20,360.773965714368,100
19,355.773965714368,100
18,350.51080781963117,100
17,344.95525226407557,100
16,339.0728993228991,100
15,332.82289932289916,100
14,326.15623265623253,100
13,319.0133755133754,100
12,311.32106782106774,100
11,302.98773448773443,100
10,293.8968253968253,100
9,283.8968253968253,100
8,272.78571428571416,100
7,260.2857142857142,100
6,245.99999999999997,100
5,229.3333333333333,100
4,209.33333333333331,100
3,184.33333333333331,100
2,151.0,100
1,101.0,100
